balanced 0 test_flag 0
[Run 75] Ep10000: 2107 steps (0.0006 hrs) 19 sec, Max 270718 steps
[Run 76] Ep10000: 2330 steps (0.0006 hrs) 24 sec, Max 270718 steps
[Run 77] Ep10000: 2544 steps (0.0007 hrs) 22 sec, Max 270718 steps
[Run 78] Ep10000: 2017 steps (0.0006 hrs) 17 sec, Max 270718 steps
[Run 79] Ep10000: 2514 steps (0.0007 hrs) 24 sec, Max 270718 steps
[Run 80] Ep10000: 3145 steps (0.0009 hrs) 19 sec, Max 270718 steps
[Run 81] Ep10000: 3989 steps (0.0011 hrs) 22 sec, Max 270718 steps
[Run 82] Ep10000: 2662 steps (0.0007 hrs) 21 sec, Max 270718 steps
[Run 83] Ep10000: 2564 steps (0.0007 hrs) 21 sec, Max 270718 steps
[Run 84] Ep10000: 2281 steps (0.0006 hrs) 15 sec, Max 270718 steps
[Run 85] Ep10000: 2556 steps (0.0007 hrs) 22 sec, Max 270718 steps
[Run 86] Ep10000: 2242 steps (0.0006 hrs) 14 sec, Max 270718 steps
[Run 87] Ep10000: 3953 steps (0.0011 hrs) 24 sec, Max 270718 steps
[Run 88] Ep10000: 1720 steps (0.0005 hrs) 14 sec, Max 270718 steps
[Run 89] Ep10000: 1680 steps (0.0005 hrs) 12 sec, Max 270718 steps
[Run 90] Ep10000: 2275 steps (0.0006 hrs) 24 sec, Max 270718 steps
[Run 91] Ep10000: 2444 steps (0.0007 hrs) 24 sec, Max 270718 steps
[Run 92] Ep10000: 2672 steps (0.0007 hrs) 13 sec, Max 270718 steps
[Run 93] Ep10000: 2896 steps (0.0008 hrs) 24 sec, Max 270718 steps
[Run 94] Ep10000: 1702 steps (0.0005 hrs) 14 sec, Max 270718 steps
[Run 95] Ep10000: 1921 steps (0.0005 hrs) 13 sec, Max 270718 steps
[Run 96] Ep10000: 1898 steps (0.0005 hrs) 20 sec, Max 270718 steps
[Run 97] Ep10000: 2224 steps (0.0006 hrs) 24 sec, Max 270718 steps
[Run 98] Ep10000: 1775 steps (0.0005 hrs) 15 sec, Max 270718 steps
[Run 99] Ep10000: 2082 steps (0.0006 hrs) 17 sec, Max 270718 steps
[Run 100] Ep10000: 2706 steps (0.0008 hrs) 20 sec, Max 270718 steps
[Run 101] Ep10000: 5132 steps (0.0014 hrs) 20 sec, Max 270718 steps
[Run 102] Ep10000: 2157 steps (0.0006 hrs) 22 sec, Max 270718 steps
[Run 103] Ep10000: 1985 steps (0.0006 hrs) 14 sec, Max 270718 steps
[Run 104] Ep10000: 2293 steps (0.0006 hrs) 22 sec, Max 270718 steps
[Run 105] Ep10000: 1723 steps (0.0005 hrs) 12 sec, Max 270718 steps
[Run 106] Ep10000: 1871 steps (0.0005 hrs) 14 sec, Max 270718 steps
[Run 107] Ep10000: 2060 steps (0.0006 hrs) 18 sec, Max 270718 steps
[Run 108] Ep10000: 2285 steps (0.0006 hrs) 18 sec, Max 270718 steps
[Run 109] Ep10000: 2993 steps (0.0008 hrs) 25 sec, Max 270718 steps
[Run 110] Ep10000: 2173 steps (0.0006 hrs) 20 sec, Max 270718 steps
[Run 111] Ep10000: 2578 steps (0.0007 hrs) 23 sec, Max 270718 steps
[Run 112] Ep10000: 1865 steps (0.0005 hrs) 14 sec, Max 270718 steps
[Run 113] Ep10000: 2015 steps (0.0006 hrs) 15 sec, Max 270718 steps
[Run 114] Ep10000: 1680 steps (0.0005 hrs) 14 sec, Max 270718 steps
[Run 115] Ep10000: 3081 steps (0.0009 hrs) 26 sec, Max 270718 steps
[Run 116] Ep10000: 2566 steps (0.0007 hrs) 14 sec, Max 270718 steps
[Run 117] Ep10000: 2559 steps (0.0007 hrs) 24 sec, Max 270718 steps
[Run 118] Ep10000: 2611 steps (0.0007 hrs) 18 sec, Max 270718 steps
[Run 119] Ep10000: 1955 steps (0.0005 hrs) 24 sec, Max 270718 steps
[Run 120] Ep10000: 1764 steps (0.0005 hrs) 12 sec, Max 270718 steps
[Run 121] Ep10000: 2978 steps (0.0008 hrs) 26 sec, Max 270718 steps
[Run 122] Ep10000: 2214 steps (0.0006 hrs) 14 sec, Max 270718 steps
[Run 123] Ep10000: 1768 steps (0.0005 hrs) 24 sec, Max 270718 steps
[Run 124] Ep10000: 1902 steps (0.0005 hrs) 13 sec, Max 270718 steps
[Run 125] Ep10000: 1730 steps (0.0005 hrs) 14 sec, Max 270718 steps
[Run 126] Ep10000: 1910 steps (0.0005 hrs) 21 sec, Max 270718 steps
[Run 127] Ep10000: 3072 steps (0.0009 hrs) 21 sec, Max 270718 steps
[Run 128] Ep10000: 2464 steps (0.0007 hrs) 25 sec, Max 270718 steps
[Run 129] Ep10000: 2374 steps (0.0007 hrs) 17 sec, Max 270718 steps
[Run 130] Ep10000: 3102 steps (0.0009 hrs) 24 sec, Max 270718 steps
[Run 131] Ep10000: 2225 steps (0.0006 hrs) 20 sec, Max 270718 steps
[Run 132] Ep10000: 2296 steps (0.0006 hrs) 21 sec, Max 270718 steps
[Run 133] Ep10000: 1877 steps (0.0005 hrs) 12 sec, Max 270718 steps
[Run 134] Ep10000: 3364 steps (0.0009 hrs) 21 sec, Max 270718 steps
[Run 135] Ep10000: 2983 steps (0.0008 hrs) 24 sec, Max 270718 steps
[Run 136] Ep10000: 2580 steps (0.0007 hrs) 25 sec, Max 270718 steps
[Run 137] Ep10000: 2147 steps (0.0006 hrs) 13 sec, Max 270718 steps
[Run 138] Ep10000: 4019 steps (0.0011 hrs) 24 sec, Max 270718 steps
[Run 139] Ep10000: 2331 steps (0.0006 hrs) 24 sec, Max 270718 steps
[Run 140] Ep10000: 1803 steps (0.0005 hrs) 12 sec, Max 270718 steps
[Run 141] Ep10000: 2032 steps (0.0006 hrs) 18 sec, Max 270718 steps
[Run 142] Ep10000: 1754 steps (0.0005 hrs) 14 sec, Max 270718 steps
[Run 143] Ep10000: 2989 steps (0.0008 hrs) 18 sec, Max 270718 steps
[Run 144] Ep10000: 1734 steps (0.0005 hrs) 12 sec, Max 270718 steps
[Run 145] Ep10000: 2161 steps (0.0006 hrs) 10 sec, Max 270718 steps
[Run 146] Ep10000: 2930 steps (0.0008 hrs) 21 sec, Max 270718 steps
[Run 147] Ep10000: 2736 steps (0.0008 hrs) 24 sec, Max 270718 steps
