balanced 0 test_flag 0
[80] Ep10000: 1586 steps (0.0004 hrs) 10 sec, Max 29919 steps
[81] Ep10000: 2260 steps (0.0006 hrs) 12 sec, Max 29919 steps
[82] Ep10000: 1835 steps (0.0005 hrs) 17 sec, Max 29919 steps
[83] Ep10000: 3584 steps (0.0010 hrs) 23 sec, Max 29919 steps
[84] Ep10000: 2282 steps (0.0006 hrs) 17 sec, Max 29919 steps
[85] Ep10000: 2051 steps (0.0006 hrs) 22 sec, Max 29919 steps
[86] Ep10000: 2476 steps (0.0007 hrs) 21 sec, Max 29919 steps
[87] Ep10000: 1912 steps (0.0005 hrs) 14 sec, Max 29919 steps
[88] Ep10000: 2679 steps (0.0007 hrs) 20 sec, Max 29919 steps
[89] Ep10000: 1959 steps (0.0005 hrs) 19 sec, Max 29919 steps
[90] Ep10000: 1838 steps (0.0005 hrs) 15 sec, Max 29919 steps
[91] Ep10000: 1855 steps (0.0005 hrs) 11 sec, Max 29919 steps
[92] Ep10000: 2372 steps (0.0007 hrs) 25 sec, Max 29919 steps
[93] Ep10000: 2149 steps (0.0006 hrs) 14 sec, Max 29919 steps
[94] Ep10000: 1280 steps (0.0004 hrs) 9 sec, Max 29919 steps
[95] Ep10000: 9205 steps (0.0026 hrs) 36 sec, Max 29919 steps
[96] Ep10000: 3713 steps (0.0010 hrs) 22 sec, Max 29919 steps
[97] Ep10000: 1811 steps (0.0005 hrs) 17 sec, Max 29919 steps
[98] Ep10000: 1690 steps (0.0005 hrs) 9 sec, Max 29919 steps
[99] Ep10000: 2342 steps (0.0007 hrs) 22 sec, Max 29919 steps
[100] Ep10000: 7985 steps (0.0022 hrs) 32 sec, Max 29919 steps
[101] Ep10000: 2094 steps (0.0006 hrs) 12 sec, Max 29919 steps
[102] Ep10000: 2035 steps (0.0006 hrs) 13 sec, Max 29919 steps
[103] Ep10000: 3164 steps (0.0009 hrs) 19 sec, Max 29919 steps
[104] Ep10000: 2585 steps (0.0007 hrs) 13 sec, Max 29919 steps
[105] Ep10000: 1839 steps (0.0005 hrs) 18 sec, Max 29919 steps
[106] Ep10000: 2349 steps (0.0007 hrs) 24 sec, Max 29919 steps
[107] Ep10000: 2724 steps (0.0008 hrs) 24 sec, Max 29919 steps
[108] Ep10000: 1801 steps (0.0005 hrs) 18 sec, Max 29919 steps
[109] Ep10000: 2330 steps (0.0006 hrs) 24 sec, Max 29919 steps
[110] Ep10000: 1862 steps (0.0005 hrs) 11 sec, Max 29919 steps
[111] Ep10000: 2341 steps (0.0007 hrs) 24 sec, Max 29919 steps
[112] Ep10000: 2466 steps (0.0007 hrs) 25 sec, Max 29919 steps
[113] Ep10000: 2083 steps (0.0006 hrs) 20 sec, Max 29919 steps
[114] Ep10000: 2183 steps (0.0006 hrs) 15 sec, Max 29919 steps
[115] Ep10000: 2118 steps (0.0006 hrs) 13 sec, Max 29919 steps
[116] Ep10000: 1634 steps (0.0005 hrs) 11 sec, Max 29919 steps
[117] Ep10000: 2880 steps (0.0008 hrs) 17 sec, Max 29919 steps
[118] Ep10000: 1458 steps (0.0004 hrs) 13 sec, Max 29919 steps
[119] Ep10000: 2097 steps (0.0006 hrs) 13 sec, Max 29919 steps
[120] Ep10000: 2648 steps (0.0007 hrs) 15 sec, Max 29919 steps
[121] Ep10000: 1833 steps (0.0005 hrs) 21 sec, Max 29919 steps
[122] Ep10000: 2681 steps (0.0007 hrs) 19 sec, Max 29919 steps
[123] Ep10000: 1898 steps (0.0005 hrs) 19 sec, Max 29919 steps
[124] Ep10000: 1851 steps (0.0005 hrs) 11 sec, Max 29919 steps
[125] Ep10000: 2415 steps (0.0007 hrs) 19 sec, Max 29919 steps
[126] Ep10000: 1443 steps (0.0004 hrs) 12 sec, Max 29919 steps
[127] Ep10000: 2239 steps (0.0006 hrs) 15 sec, Max 29919 steps
[128] Ep10000: 2423 steps (0.0007 hrs) 22 sec, Max 29919 steps
[129] Ep10000: 1783 steps (0.0005 hrs) 10 sec, Max 29919 steps
[130] Ep10000: 2403 steps (0.0007 hrs) 24 sec, Max 29919 steps
[131] Ep10000: 2121 steps (0.0006 hrs) 24 sec, Max 29919 steps
[132] Ep10000: 2679 steps (0.0007 hrs) 23 sec, Max 29919 steps
[133] Ep10000: 9158 steps (0.0025 hrs) 22 sec, Max 29919 steps
[134] Ep10000: 1612 steps (0.0004 hrs) 9 sec, Max 29919 steps
[135] Ep10000: 1623 steps (0.0005 hrs) 11 sec, Max 29919 steps
[136] Ep10000: 2184 steps (0.0006 hrs) 12 sec, Max 29919 steps
[137] Ep10000: 1937 steps (0.0005 hrs) 14 sec, Max 29919 steps
[138] Ep10000: 1812 steps (0.0005 hrs) 12 sec, Max 29919 steps
[139] Ep10000: 1860 steps (0.0005 hrs) 16 sec, Max 29919 steps
[140] Ep10000: 1796 steps (0.0005 hrs) 19 sec, Max 29919 steps
[141] Ep10000: 1765 steps (0.0005 hrs) 14 sec, Max 29919 steps
[142] Ep10000: 2027 steps (0.0006 hrs) 12 sec, Max 29919 steps
[143] Ep10000: 1759 steps (0.0005 hrs) 11 sec, Max 29919 steps
[144] Ep10000: 1325 steps (0.0004 hrs) 11 sec, Max 29919 steps
[145] Ep10000: 2042 steps (0.0006 hrs) 13 sec, Max 29919 steps
[146] Ep10000: 1890 steps (0.0005 hrs) 13 sec, Max 29919 steps
[147] Ep10000: 2621 steps (0.0007 hrs) 22 sec, Max 29919 steps
[148] Ep10000: 2080 steps (0.0006 hrs) 18 sec, Max 29919 steps
[149] Ep10000: 2867 steps (0.0008 hrs) 15 sec, Max 29919 steps
[150] Ep10000: 2271 steps (0.0006 hrs) 23 sec, Max 29919 steps
[151] Ep10000: 1653 steps (0.0005 hrs) 13 sec, Max 29919 steps
[152] Ep10000: 2336 steps (0.0006 hrs) 20 sec, Max 29919 steps
[153] Ep10000: 1437 steps (0.0004 hrs) 11 sec, Max 29919 steps
[154] Ep10000: 1740 steps (0.0005 hrs) 18 sec, Max 29919 steps
[155] Ep10000: 1630 steps (0.0005 hrs) 11 sec, Max 29919 steps
[156] Ep10000: 1932 steps (0.0005 hrs) 13 sec, Max 29919 steps
[157] Ep10000: 3708 steps (0.0010 hrs) 22 sec, Max 29919 steps
[158] Ep10000: 2695 steps (0.0007 hrs) 18 sec, Max 29919 steps
[159] Ep10000: 2780 steps (0.0008 hrs) 23 sec, Max 29919 steps
[160] Ep10000: 2699 steps (0.0007 hrs) 22 sec, Max 29919 steps
[161] Ep10000: 2010 steps (0.0006 hrs) 17 sec, Max 29919 steps
[162] Ep10000: 1824 steps (0.0005 hrs) 12 sec, Max 29919 steps
[163] Ep10000: 2576 steps (0.0007 hrs) 14 sec, Max 29919 steps
[164] Ep10000: 2134 steps (0.0006 hrs) 24 sec, Max 29919 steps
[165] Ep10000: 2367 steps (0.0007 hrs) 20 sec, Max 29919 steps
[166] Ep10000: 1636 steps (0.0005 hrs) 14 sec, Max 29919 steps
[167] Ep10000: 1765 steps (0.0005 hrs) 10 sec, Max 29919 steps
[168] Ep10000: 2370 steps (0.0007 hrs) 14 sec, Max 29919 steps
[169] Ep10000: 2365 steps (0.0007 hrs) 22 sec, Max 29919 steps
[170] Ep10000: 2058 steps (0.0006 hrs) 24 sec, Max 29919 steps
[171] Ep10000: 2210 steps (0.0006 hrs) 15 sec, Max 29919 steps
[172] Ep10000: 1357 steps (0.0004 hrs) 11 sec, Max 29919 steps
[173] Ep10000: 1378 steps (0.0004 hrs) 10 sec, Max 29919 steps
[174] Ep10000: 2140 steps (0.0006 hrs) 24 sec, Max 29919 steps
