balanced 0 test_flag 0
[80] Ep10000: 1566 steps (0.0004 hrs) 18 sec, Max 8498 steps
[81] Ep10000: 1823 steps (0.0005 hrs) 18 sec, Max 8498 steps
[82] Ep10000: 2495 steps (0.0007 hrs) 25 sec, Max 8498 steps
[83] Ep10000: 5687 steps (0.0016 hrs) 28 sec, Max 8498 steps
[84] Ep10000: 1694 steps (0.0005 hrs) 18 sec, Max 8498 steps
[85] Ep10000: 1921 steps (0.0005 hrs) 19 sec, Max 8498 steps
[86] Ep10000: 4800 steps (0.0013 hrs) 19 sec, Max 8498 steps
[87] Ep10000: 1802 steps (0.0005 hrs) 19 sec, Max 8498 steps
[88] Ep10000: 1979 steps (0.0005 hrs) 17 sec, Max 8498 steps
[89] Ep10000: 5729 steps (0.0016 hrs) 27 sec, Max 8498 steps
[90] Ep10000: 1890 steps (0.0005 hrs) 25 sec, Max 8498 steps
[91] Ep10000: 1781 steps (0.0005 hrs) 19 sec, Max 8498 steps
[92] Ep10000: 1904 steps (0.0005 hrs) 17 sec, Max 8498 steps
[93] Ep10000: 1991 steps (0.0006 hrs) 18 sec, Max 8498 steps
[94] Ep10000: 5175 steps (0.0014 hrs) 30 sec, Max 8498 steps
[95] Ep10000: 2172 steps (0.0006 hrs) 19 sec, Max 8498 steps
[96] Ep10000: 2225 steps (0.0006 hrs) 18 sec, Max 8498 steps
[97] Ep10000: 1968 steps (0.0005 hrs) 25 sec, Max 8498 steps
[98] Ep10000: 5156 steps (0.0014 hrs) 31 sec, Max 8498 steps
[99] Ep10000: 1948 steps (0.0005 hrs) 20 sec, Max 8498 steps
[100] Ep10000: 2089 steps (0.0006 hrs) 25 sec, Max 8498 steps
[101] Ep10000: 3791 steps (0.0011 hrs) 29 sec, Max 8498 steps
[102] Ep10000: 2098 steps (0.0006 hrs) 18 sec, Max 8498 steps
[103] Ep10000: 1670 steps (0.0005 hrs) 17 sec, Max 8498 steps
[104] Ep10000: 2455 steps (0.0007 hrs) 26 sec, Max 8498 steps
[105] Ep10000: 2305 steps (0.0006 hrs) 25 sec, Max 8498 steps
[106] Ep10000: 1824 steps (0.0005 hrs) 19 sec, Max 8498 steps
[107] Ep10000: 2162 steps (0.0006 hrs) 18 sec, Max 8498 steps
[108] Ep10000: 2323 steps (0.0006 hrs) 17 sec, Max 8498 steps
[109] Ep10000: 2029 steps (0.0006 hrs) 19 sec, Max 8498 steps
[110] Ep10000: 2060 steps (0.0006 hrs) 18 sec, Max 8498 steps
[111] Ep10000: 2258 steps (0.0006 hrs) 25 sec, Max 8498 steps
[112] Ep10000: 2347 steps (0.0007 hrs) 26 sec, Max 8498 steps
[113] Ep10000: 5577 steps (0.0015 hrs) 29 sec, Max 8498 steps
[114] Ep10000: 1563 steps (0.0004 hrs) 17 sec, Max 8498 steps
[115] Ep10000: 2068 steps (0.0006 hrs) 18 sec, Max 8498 steps
[116] Ep10000: 6559 steps (0.0018 hrs) 28 sec, Max 8498 steps
[117] Ep10000: 2291 steps (0.0006 hrs) 19 sec, Max 8498 steps
[118] Ep10000: 4219 steps (0.0012 hrs) 27 sec, Max 8498 steps
[119] Ep10000: 4771 steps (0.0013 hrs) 28 sec, Max 8498 steps
[120] Ep10000: 2506 steps (0.0007 hrs) 19 sec, Max 8498 steps
[121] Ep10000: 2362 steps (0.0007 hrs) 26 sec, Max 8498 steps
[122] Ep10000: 1656 steps (0.0005 hrs) 18 sec, Max 8498 steps
[123] Ep10000: 1599 steps (0.0004 hrs) 17 sec, Max 8498 steps
[124] Ep10000: 2320 steps (0.0006 hrs) 18 sec, Max 8498 steps
[125] Ep10000: 1622 steps (0.0005 hrs) 19 sec, Max 8498 steps
[126] Ep10000: 3402 steps (0.0009 hrs) 19 sec, Max 8498 steps
[127] Ep10000: 5285 steps (0.0015 hrs) 20 sec, Max 8498 steps
[128] Ep10000: 1854 steps (0.0005 hrs) 19 sec, Max 8498 steps
[129] Ep10000: 1771 steps (0.0005 hrs) 18 sec, Max 8498 steps
[130] Ep10000: 1515 steps (0.0004 hrs) 18 sec, Max 8498 steps
[131] Ep10000: 1834 steps (0.0005 hrs) 18 sec, Max 8498 steps
[132] Ep10000: 8529 steps (0.0024 hrs) 22 sec, Max 8529 steps
[133] Ep10000: 2194 steps (0.0006 hrs) 18 sec, Max 8529 steps
[134] Ep10000: 1992 steps (0.0006 hrs) 18 sec, Max 8529 steps
[135] Ep10000: 2337 steps (0.0006 hrs) 25 sec, Max 8529 steps
[136] Ep10000: 2269 steps (0.0006 hrs) 26 sec, Max 8529 steps
[137] Ep10000: 2025 steps (0.0006 hrs) 25 sec, Max 8529 steps
[138] Ep10000: 5880 steps (0.0016 hrs) 31 sec, Max 8529 steps
[139] Ep10000: 1977 steps (0.0005 hrs) 18 sec, Max 8529 steps
[140] Ep10000: 1963 steps (0.0005 hrs) 25 sec, Max 8529 steps
[141] Ep10000: 2222 steps (0.0006 hrs) 19 sec, Max 8529 steps
[142] Ep10000: 2096 steps (0.0006 hrs) 25 sec, Max 8529 steps
[143] Ep10000: 1937 steps (0.0005 hrs) 17 sec, Max 8529 steps
[144] Ep10000: 1938 steps (0.0005 hrs) 18 sec, Max 8529 steps
[145] Ep10000: 1239 steps (0.0003 hrs) 17 sec, Max 8529 steps
[146] Ep10000: 1997 steps (0.0006 hrs) 18 sec, Max 8529 steps
[147] Ep10000: 1598 steps (0.0004 hrs) 17 sec, Max 8529 steps
[148] Ep10000: 1957 steps (0.0005 hrs) 18 sec, Max 8529 steps
[149] Ep10000: 1762 steps (0.0005 hrs) 18 sec, Max 8529 steps
[150] Ep10000: 11406 steps (0.0032 hrs) 39 sec, Max 11406 steps
[151] Ep10000: 2129 steps (0.0006 hrs) 19 sec, Max 11406 steps
[152] Ep10000: 2181 steps (0.0006 hrs) 19 sec, Max 11406 steps
[153] Ep10000: 2981 steps (0.0008 hrs) 25 sec, Max 11406 steps
[154] Ep10000: 2278 steps (0.0006 hrs) 26 sec, Max 11406 steps
[155] Ep10000: 1949 steps (0.0005 hrs) 26 sec, Max 11406 steps
[156] Ep10000: 6371 steps (0.0018 hrs) 20 sec, Max 11406 steps
[157] Ep10000: 1794 steps (0.0005 hrs) 17 sec, Max 11406 steps
[158] Ep10000: 5163 steps (0.0014 hrs) 30 sec, Max 11406 steps
[159] Ep10000: 1944 steps (0.0005 hrs) 19 sec, Max 11406 steps
[160] Ep10000: 1969 steps (0.0005 hrs) 17 sec, Max 11406 steps
[161] Ep10000: 5385 steps (0.0015 hrs) 29 sec, Max 11406 steps
[162] Ep10000: 1870 steps (0.0005 hrs) 18 sec, Max 11406 steps
[163] Ep10000: 1781 steps (0.0005 hrs) 17 sec, Max 11406 steps
[164] Ep10000: 4208 steps (0.0012 hrs) 28 sec, Max 11406 steps
[165] Ep10000: 5553 steps (0.0015 hrs) 31 sec, Max 11406 steps
[166] Ep10000: 1800 steps (0.0005 hrs) 18 sec, Max 11406 steps
[167] Ep10000: 4208 steps (0.0012 hrs) 19 sec, Max 11406 steps
[168] Ep10000: 2347 steps (0.0007 hrs) 18 sec, Max 11406 steps
[169] Ep10000: 1872 steps (0.0005 hrs) 20 sec, Max 11406 steps
[170] Ep10000: 1632 steps (0.0005 hrs) 17 sec, Max 11406 steps
[171] Ep10000: 1782 steps (0.0005 hrs) 18 sec, Max 11406 steps
[172] Ep10000: 1774 steps (0.0005 hrs) 21 sec, Max 11406 steps
[173] Ep10000: 1963 steps (0.0005 hrs) 17 sec, Max 11406 steps
[174] Ep10000: 3053 steps (0.0008 hrs) 26 sec, Max 11406 steps
[175] Ep10000: 4498 steps (0.0012 hrs) 18 sec, Max 11406 steps
[176] Ep10000: 2624 steps (0.0007 hrs) 25 sec, Max 11406 steps
[177] Ep10000: 1940 steps (0.0005 hrs) 26 sec, Max 11406 steps
[178] Ep10000: 2282 steps (0.0006 hrs) 26 sec, Max 11406 steps
[179] Ep10000: 4122 steps (0.0011 hrs) 28 sec, Max 11406 steps
[180] Ep10000: 2203 steps (0.0006 hrs) 24 sec, Max 11406 steps
[181] Ep10000: 2047 steps (0.0006 hrs) 18 sec, Max 11406 steps
[182] Ep10000: 1691 steps (0.0005 hrs) 18 sec, Max 11406 steps
[183] Ep10000: 6036 steps (0.0017 hrs) 27 sec, Max 11406 steps
[184] Ep10000: 1793 steps (0.0005 hrs) 18 sec, Max 11406 steps
[185] Ep10000: 3892 steps (0.0011 hrs) 25 sec, Max 11406 steps
[186] Ep10000: 1666 steps (0.0005 hrs) 19 sec, Max 11406 steps
[187] Ep10000: 1563 steps (0.0004 hrs) 18 sec, Max 11406 steps
[188] Ep10000: 2237 steps (0.0006 hrs) 17 sec, Max 11406 steps
[189] Ep10000: 4280 steps (0.0012 hrs) 21 sec, Max 11406 steps
[190] Ep10000: 1548 steps (0.0004 hrs) 17 sec, Max 11406 steps
[191] Ep10000: 2374 steps (0.0007 hrs) 18 sec, Max 11406 steps
[192] Ep10000: 5389 steps (0.0015 hrs) 28 sec, Max 11406 steps
[193] Ep10000: 1999 steps (0.0006 hrs) 17 sec, Max 11406 steps
[194] Ep10000: 6179 steps (0.0017 hrs) 27 sec, Max 11406 steps
[195] Ep10000: 7585 steps (0.0021 hrs) 29 sec, Max 11406 steps
[196] Ep10000: 2425 steps (0.0007 hrs) 25 sec, Max 11406 steps
[197] Ep10000: 1733 steps (0.0005 hrs) 18 sec, Max 11406 steps
[198] Ep10000: 4687 steps (0.0013 hrs) 28 sec, Max 11406 steps
[199] Ep10000: 2393 steps (0.0007 hrs) 25 sec, Max 11406 steps
[200] Ep10000: 1673 steps (0.0005 hrs) 18 sec, Max 11406 steps
[201] Ep10000: 1698 steps (0.0005 hrs) 17 sec, Max 11406 steps
[202] Ep10000: 2134 steps (0.0006 hrs) 19 sec, Max 11406 steps
[203] Ep10000: 4711 steps (0.0013 hrs) 29 sec, Max 11406 steps
[204] Ep10000: 2106 steps (0.0006 hrs) 22 sec, Max 11406 steps
[205] Ep10000: 1988 steps (0.0006 hrs) 18 sec, Max 11406 steps
[206] Ep10000: 2201 steps (0.0006 hrs) 26 sec, Max 11406 steps
[207] Ep10000: 1687 steps (0.0005 hrs) 17 sec, Max 11406 steps
[208] Ep10000: 2475 steps (0.0007 hrs) 17 sec, Max 11406 steps
[209] Ep10000: 2370 steps (0.0007 hrs) 19 sec, Max 11406 steps
[210] Ep10000: 6226 steps (0.0017 hrs) 21 sec, Max 11406 steps
[211] Ep10000: 2483 steps (0.0007 hrs) 19 sec, Max 11406 steps
[212] Ep10000: 2098 steps (0.0006 hrs) 17 sec, Max 11406 steps
[213] Ep10000: 1713 steps (0.0005 hrs) 17 sec, Max 11406 steps
[214] Ep10000: 1722 steps (0.0005 hrs) 16 sec, Max 11406 steps
[215] Ep10000: 2069 steps (0.0006 hrs) 25 sec, Max 11406 steps
[216] Ep10000: 2448 steps (0.0007 hrs) 25 sec, Max 11406 steps
[217] Ep10000: 1839 steps (0.0005 hrs) 19 sec, Max 11406 steps
[218] Ep10000: 2312 steps (0.0006 hrs) 17 sec, Max 11406 steps
[219] Ep10000: 2196 steps (0.0006 hrs) 18 sec, Max 11406 steps
[220] Ep10000: 2265 steps (0.0006 hrs) 18 sec, Max 11406 steps
[221] Ep10000: 5079 steps (0.0014 hrs) 21 sec, Max 11406 steps
[222] Ep10000: 2765 steps (0.0008 hrs) 20 sec, Max 11406 steps
[223] Ep10000: 2037 steps (0.0006 hrs) 17 sec, Max 11406 steps
[224] Ep10000: 2207 steps (0.0006 hrs) 19 sec, Max 11406 steps
[225] Ep10000: 5809 steps (0.0016 hrs) 19 sec, Max 11406 steps
[226] Ep10000: 2122 steps (0.0006 hrs) 25 sec, Max 11406 steps
[227] Ep10000: 1950 steps (0.0005 hrs) 26 sec, Max 11406 steps
[228] Ep10000: 3460 steps (0.0010 hrs) 26 sec, Max 11406 steps
[229] Ep10000: 3829 steps (0.0011 hrs) 29 sec, Max 11406 steps
[230] Ep10000: 6423 steps (0.0018 hrs) 26 sec, Max 11406 steps
[231] Ep10000: 1958 steps (0.0005 hrs) 25 sec, Max 11406 steps
[232] Ep10000: 1594 steps (0.0004 hrs) 17 sec, Max 11406 steps
[233] Ep10000: 1422 steps (0.0004 hrs) 19 sec, Max 11406 steps
[234] Ep10000: 5891 steps (0.0016 hrs) 21 sec, Max 11406 steps
[235] Ep10000: 4092 steps (0.0011 hrs) 27 sec, Max 11406 steps
[236] Ep10000: 1994 steps (0.0006 hrs) 18 sec, Max 11406 steps
[237] Ep10000: 1489 steps (0.0004 hrs) 17 sec, Max 11406 steps
[238] Ep10000: 1975 steps (0.0005 hrs) 19 sec, Max 11406 steps
[239] Ep10000: 1839 steps (0.0005 hrs) 18 sec, Max 11406 steps
[240] Ep10000: 2369 steps (0.0007 hrs) 25 sec, Max 11406 steps
[241] Ep10000: 1707 steps (0.0005 hrs) 17 sec, Max 11406 steps
[242] Ep10000: 1548 steps (0.0004 hrs) 18 sec, Max 11406 steps
[243] Ep10000: 4832 steps (0.0013 hrs) 30 sec, Max 11406 steps
[244] Ep10000: 2065 steps (0.0006 hrs) 18 sec, Max 11406 steps
[245] Ep10000: 1788 steps (0.0005 hrs) 17 sec, Max 11406 steps
[246] Ep10000: 4976 steps (0.0014 hrs) 28 sec, Max 11406 steps
[247] Ep10000: 2018 steps (0.0006 hrs) 18 sec, Max 11406 steps
[248] Ep10000: 4772 steps (0.0013 hrs) 28 sec, Max 11406 steps
[249] Ep10000: 1874 steps (0.0005 hrs) 17 sec, Max 11406 steps
[250] Ep10000: 2014 steps (0.0006 hrs) 19 sec, Max 11406 steps
[251] Ep10000: 5091 steps (0.0014 hrs) 28 sec, Max 11406 steps
[252] Ep10000: 2252 steps (0.0006 hrs) 26 sec, Max 11406 steps
[253] Ep10000: 1673 steps (0.0005 hrs) 17 sec, Max 11406 steps
[254] Ep10000: 1825 steps (0.0005 hrs) 19 sec, Max 11406 steps
[255] Ep10000: 4683 steps (0.0013 hrs) 20 sec, Max 11406 steps
[256] Ep10000: 2854 steps (0.0008 hrs) 19 sec, Max 11406 steps
[257] Ep10000: 2222 steps (0.0006 hrs) 26 sec, Max 11406 steps
[258] Ep10000: 2101 steps (0.0006 hrs) 17 sec, Max 11406 steps
[259] Ep10000: 5146 steps (0.0014 hrs) 27 sec, Max 11406 steps
[260] Ep10000: 4321 steps (0.0012 hrs) 24 sec, Max 11406 steps
[261] Ep10000: 2103 steps (0.0006 hrs) 18 sec, Max 11406 steps
[262] Ep10000: 1473 steps (0.0004 hrs) 17 sec, Max 11406 steps
[263] Ep10000: 5055 steps (0.0014 hrs) 19 sec, Max 11406 steps
[264] Ep10000: 1641 steps (0.0005 hrs) 19 sec, Max 11406 steps
[265] Ep10000: 4346 steps (0.0012 hrs) 28 sec, Max 11406 steps
[266] Ep10000: 1917 steps (0.0005 hrs) 18 sec, Max 11406 steps
[267] Ep10000: 2164 steps (0.0006 hrs) 25 sec, Max 11406 steps
[268] Ep10000: 1815 steps (0.0005 hrs) 18 sec, Max 11406 steps
[269] Ep10000: 5107 steps (0.0014 hrs) 27 sec, Max 11406 steps
[270] Ep10000: 1982 steps (0.0006 hrs) 18 sec, Max 11406 steps
[271] Ep10000: 2649 steps (0.0007 hrs) 25 sec, Max 11406 steps
[272] Ep10000: 2108 steps (0.0006 hrs) 16 sec, Max 11406 steps
[273] Ep10000: 2145 steps (0.0006 hrs) 26 sec, Max 11406 steps
[274] Ep10000: 2454 steps (0.0007 hrs) 19 sec, Max 11406 steps
[275] Ep10000: 1518 steps (0.0004 hrs) 18 sec, Max 11406 steps
[276] Ep10000: 4470 steps (0.0012 hrs) 28 sec, Max 11406 steps
[277] Ep10000: 1714 steps (0.0005 hrs) 18 sec, Max 11406 steps
[278] Ep10000: 1889 steps (0.0005 hrs) 19 sec, Max 11406 steps
[279] Ep10000: 1902 steps (0.0005 hrs) 20 sec, Max 11406 steps
[280] Ep10000: 1461 steps (0.0004 hrs) 17 sec, Max 11406 steps
[281] Ep10000: 2069 steps (0.0006 hrs) 18 sec, Max 11406 steps
[282] Ep10000: 2637 steps (0.0007 hrs) 19 sec, Max 11406 steps
[283] Ep10000: 1667 steps (0.0005 hrs) 19 sec, Max 11406 steps
[284] Ep10000: 2442 steps (0.0007 hrs) 18 sec, Max 11406 steps
[285] Ep10000: 2231 steps (0.0006 hrs) 26 sec, Max 11406 steps
[286] Ep10000: 6012 steps (0.0017 hrs) 28 sec, Max 11406 steps
[287] Ep10000: 1982 steps (0.0006 hrs) 20 sec, Max 11406 steps
[288] Ep10000: 4697 steps (0.0013 hrs) 28 sec, Max 11406 steps
[289] Ep10000: 4480 steps (0.0012 hrs) 31 sec, Max 11406 steps
[290] Ep10000: 2017 steps (0.0006 hrs) 25 sec, Max 11406 steps
[291] Ep10000: 2075 steps (0.0006 hrs) 17 sec, Max 11406 steps
[292] Ep10000: 1739 steps (0.0005 hrs) 18 sec, Max 11406 steps
[293] Ep10000: 1904 steps (0.0005 hrs) 17 sec, Max 11406 steps
[294] Ep10000: 1683 steps (0.0005 hrs) 18 sec, Max 11406 steps
[295] Ep10000: 1606 steps (0.0004 hrs) 19 sec, Max 11406 steps
[296] Ep10000: 5073 steps (0.0014 hrs) 27 sec, Max 11406 steps
[297] Ep10000: 1874 steps (0.0005 hrs) 18 sec, Max 11406 steps
[298] Ep10000: 2207 steps (0.0006 hrs) 18 sec, Max 11406 steps
[299] Ep10000: 2504 steps (0.0007 hrs) 26 sec, Max 11406 steps
[300] Ep10000: 2417 steps (0.0007 hrs) 19 sec, Max 11406 steps
[301] Ep10000: 2234 steps (0.0006 hrs) 17 sec, Max 11406 steps
[302] Ep10000: 1518 steps (0.0004 hrs) 18 sec, Max 11406 steps
[303] Ep10000: 9645 steps (0.0027 hrs) 35 sec, Max 11406 steps
[304] Ep10000: 7294 steps (0.0020 hrs) 30 sec, Max 11406 steps
[305] Ep10000: 1768 steps (0.0005 hrs) 18 sec, Max 11406 steps
[306] Ep10000: 2053 steps (0.0006 hrs) 25 sec, Max 11406 steps
[307] Ep10000: 2297 steps (0.0006 hrs) 21 sec, Max 11406 steps
[308] Ep10000: 2353 steps (0.0007 hrs) 17 sec, Max 11406 steps
[309] Ep10000: 4446 steps (0.0012 hrs) 24 sec, Max 11406 steps
[310] Ep10000: 1523 steps (0.0004 hrs) 17 sec, Max 11406 steps
[311] Ep10000: 1851 steps (0.0005 hrs) 19 sec, Max 11406 steps
[312] Ep10000: 1556 steps (0.0004 hrs) 18 sec, Max 11406 steps
[313] Ep10000: 1661 steps (0.0005 hrs) 17 sec, Max 11406 steps
[314] Ep10000: 4413 steps (0.0012 hrs) 21 sec, Max 11406 steps
[315] Ep10000: 1825 steps (0.0005 hrs) 18 sec, Max 11406 steps
[316] Ep10000: 1936 steps (0.0005 hrs) 25 sec, Max 11406 steps
[317] Ep10000: 1613 steps (0.0004 hrs) 17 sec, Max 11406 steps
[318] Ep10000: 2172 steps (0.0006 hrs) 25 sec, Max 11406 steps
[319] Ep10000: 2416 steps (0.0007 hrs) 25 sec, Max 11406 steps
[320] Ep10000: 4284 steps (0.0012 hrs) 21 sec, Max 11406 steps
[321] Ep10000: 7020 steps (0.0020 hrs) 20 sec, Max 11406 steps
[322] Ep10000: 7710 steps (0.0021 hrs) 20 sec, Max 11406 steps
[323] Ep10000: 1807 steps (0.0005 hrs) 20 sec, Max 11406 steps
[324] Ep10000: 1979 steps (0.0005 hrs) 25 sec, Max 11406 steps
[325] Ep10000: 2286 steps (0.0006 hrs) 19 sec, Max 11406 steps
[326] Ep10000: 2062 steps (0.0006 hrs) 18 sec, Max 11406 steps
[327] Ep10000: 9776 steps (0.0027 hrs) 21 sec, Max 11406 steps
[328] Ep10000: 1739 steps (0.0005 hrs) 19 sec, Max 11406 steps
[329] Ep10000: 1684 steps (0.0005 hrs) 19 sec, Max 11406 steps
[330] Ep10000: 2053 steps (0.0006 hrs) 19 sec, Max 11406 steps
[331] Ep10000: 2442 steps (0.0007 hrs) 17 sec, Max 11406 steps
[332] Ep10000: 2137 steps (0.0006 hrs) 25 sec, Max 11406 steps
[333] Ep10000: 2292 steps (0.0006 hrs) 26 sec, Max 11406 steps
[334] Ep10000: 2246 steps (0.0006 hrs) 25 sec, Max 11406 steps
[335] Ep10000: 5201 steps (0.0014 hrs) 20 sec, Max 11406 steps
[336] Ep10000: 6321 steps (0.0018 hrs) 21 sec, Max 11406 steps
[337] Ep10000: 1977 steps (0.0005 hrs) 18 sec, Max 11406 steps
[338] Ep10000: 1830 steps (0.0005 hrs) 18 sec, Max 11406 steps
[339] Ep10000: 2336 steps (0.0006 hrs) 25 sec, Max 11406 steps
[340] Ep10000: 1649 steps (0.0005 hrs) 19 sec, Max 11406 steps
[341] Ep10000: 1747 steps (0.0005 hrs) 18 sec, Max 11406 steps
[342] Ep10000: 1893 steps (0.0005 hrs) 18 sec, Max 11406 steps
[343] Ep10000: 2165 steps (0.0006 hrs) 18 sec, Max 11406 steps
[344] Ep10000: 1998 steps (0.0006 hrs) 17 sec, Max 11406 steps
[345] Ep10000: 9037 steps (0.0025 hrs) 28 sec, Max 11406 steps
[346] Ep10000: 2356 steps (0.0007 hrs) 17 sec, Max 11406 steps
[347] Ep10000: 1802 steps (0.0005 hrs) 18 sec, Max 11406 steps
[348] Ep10000: 1811 steps (0.0005 hrs) 18 sec, Max 11406 steps
[349] Ep10000: 2504 steps (0.0007 hrs) 18 sec, Max 11406 steps
