balanced 0 test_flag 0
[1] Ep10000: 2212 steps (0.0006 hrs) 16 sec, Max 2212 steps
[2] Ep10000: 3050 steps (0.0008 hrs) 15 sec, Max 3050 steps
[3] Ep10000: 1781 steps (0.0005 hrs) 14 sec, Max 3050 steps
[4] Ep10000: 1546 steps (0.0004 hrs) 15 sec, Max 3050 steps
[5] Ep10000: 3701 steps (0.0010 hrs) 26 sec, Max 3701 steps
[6] Ep10000: 2041 steps (0.0006 hrs) 22 sec, Max 3701 steps
[7] Ep10000: 2256 steps (0.0006 hrs) 17 sec, Max 3701 steps
[8] Ep10000: 1892 steps (0.0005 hrs) 22 sec, Max 3701 steps
[9] Ep10000: 2372 steps (0.0007 hrs) 20 sec, Max 3701 steps
[10] Ep10000: 3235 steps (0.0009 hrs) 22 sec, Max 3701 steps
[11] Ep10000: 2927 steps (0.0008 hrs) 24 sec, Max 3701 steps
[12] Ep10000: 3135 steps (0.0009 hrs) 26 sec, Max 3701 steps
[13] Ep10000: 2286 steps (0.0006 hrs) 25 sec, Max 3701 steps
[14] Ep10000: 1853 steps (0.0005 hrs) 16 sec, Max 3701 steps
[15] Ep10000: 1605 steps (0.0004 hrs) 17 sec, Max 3701 steps
[16] Ep10000: 2006 steps (0.0006 hrs) 19 sec, Max 3701 steps
[17] Ep10000: 1978 steps (0.0005 hrs) 15 sec, Max 3701 steps
[18] Ep10000: 3191 steps (0.0009 hrs) 17 sec, Max 3701 steps
[19] Ep10000: 2546 steps (0.0007 hrs) 22 sec, Max 3701 steps
[20] Ep10000: 2308 steps (0.0006 hrs) 19 sec, Max 3701 steps
[21] Ep10000: 2071 steps (0.0006 hrs) 14 sec, Max 3701 steps
[22] Ep10000: 2441 steps (0.0007 hrs) 22 sec, Max 3701 steps
[23] Ep10000: 2901 steps (0.0008 hrs) 25 sec, Max 3701 steps
[24] Ep10000: 1700 steps (0.0005 hrs) 15 sec, Max 3701 steps
[25] Ep10000: 1885 steps (0.0005 hrs) 16 sec, Max 3701 steps
[26] Ep10000: 2510 steps (0.0007 hrs) 21 sec, Max 3701 steps
[27] Ep10000: 2873 steps (0.0008 hrs) 18 sec, Max 3701 steps
[28] Ep10000: 1702 steps (0.0005 hrs) 15 sec, Max 3701 steps
[29] Ep10000: 2442 steps (0.0007 hrs) 15 sec, Max 3701 steps
[30] Ep10000: 2505 steps (0.0007 hrs) 17 sec, Max 3701 steps
[31] Ep10000: 2194 steps (0.0006 hrs) 24 sec, Max 3701 steps
[32] Ep10000: 3347 steps (0.0009 hrs) 23 sec, Max 3701 steps
[33] Ep10000: 3235 steps (0.0009 hrs) 18 sec, Max 3701 steps
[34] Ep10000: 1978 steps (0.0005 hrs) 25 sec, Max 3701 steps
[35] Ep10000: 11540 steps (0.0032 hrs) 57 sec, Max 11540 steps
[36] Ep10000: 2436 steps (0.0007 hrs) 19 sec, Max 11540 steps
[37] Ep10000: 3247 steps (0.0009 hrs) 22 sec, Max 11540 steps
[38] Ep10000: 1811 steps (0.0005 hrs) 15 sec, Max 11540 steps
[39] Ep10000: 2844 steps (0.0008 hrs) 21 sec, Max 11540 steps
[40] Ep10000: 1551 steps (0.0004 hrs) 15 sec, Max 11540 steps
[41] Ep10000: 2323 steps (0.0006 hrs) 21 sec, Max 11540 steps
[42] Ep10000: 3170 steps (0.0009 hrs) 27 sec, Max 11540 steps
[43] Ep10000: 2063 steps (0.0006 hrs) 20 sec, Max 11540 steps
[44] Ep10000: 2953 steps (0.0008 hrs) 25 sec, Max 11540 steps
[45] Ep10000: 2865 steps (0.0008 hrs) 22 sec, Max 11540 steps
[46] Ep10000: 2024 steps (0.0006 hrs) 16 sec, Max 11540 steps
[47] Ep10000: 2724 steps (0.0008 hrs) 16 sec, Max 11540 steps
[48] Ep10000: 2225 steps (0.0006 hrs) 23 sec, Max 11540 steps
[49] Ep10000: 2211 steps (0.0006 hrs) 17 sec, Max 11540 steps
[50] Ep10000: 2180 steps (0.0006 hrs) 20 sec, Max 11540 steps
[51] Ep10000: 2747 steps (0.0008 hrs) 24 sec, Max 11540 steps
[52] Ep10000: 1712 steps (0.0005 hrs) 16 sec, Max 11540 steps
[53] Ep10000: 1604 steps (0.0004 hrs) 13 sec, Max 11540 steps
[54] Ep10000: 2058 steps (0.0006 hrs) 17 sec, Max 11540 steps
[55] Ep10000: 2176 steps (0.0006 hrs) 17 sec, Max 11540 steps
[56] Ep10000: 1982 steps (0.0006 hrs) 19 sec, Max 11540 steps
[57] Ep10000: 1822 steps (0.0005 hrs) 16 sec, Max 11540 steps
[58] Ep10000: 4469 steps (0.0012 hrs) 27 sec, Max 11540 steps
[59] Ep10000: 2220 steps (0.0006 hrs) 14 sec, Max 11540 steps
[60] Ep10000: 1993 steps (0.0006 hrs) 15 sec, Max 11540 steps
[61] Ep10000: 1810 steps (0.0005 hrs) 17 sec, Max 11540 steps
[62] Ep10000: 1897 steps (0.0005 hrs) 16 sec, Max 11540 steps
[63] Ep10000: 2811 steps (0.0008 hrs) 24 sec, Max 11540 steps
[64] Ep10000: 5918 steps (0.0016 hrs) 24 sec, Max 11540 steps
[65] Ep10000: 1906 steps (0.0005 hrs) 14 sec, Max 11540 steps
[66] Ep10000: 2641 steps (0.0007 hrs) 21 sec, Max 11540 steps
[67] Ep10000: 1827 steps (0.0005 hrs) 15 sec, Max 11540 steps
[68] Ep10000: 1860 steps (0.0005 hrs) 16 sec, Max 11540 steps
[69] Ep10000: 2198 steps (0.0006 hrs) 24 sec, Max 11540 steps
[70] Ep10000: 2624 steps (0.0007 hrs) 15 sec, Max 11540 steps
[71] Ep10000: 3330 steps (0.0009 hrs) 26 sec, Max 11540 steps
[72] Ep10000: 2539 steps (0.0007 hrs) 18 sec, Max 11540 steps
[73] Ep10000: 1840 steps (0.0005 hrs) 17 sec, Max 11540 steps
[74] Ep10000: 2077 steps (0.0006 hrs) 17 sec, Max 11540 steps
[75] Ep10000: 2062 steps (0.0006 hrs) 16 sec, Max 11540 steps
[76] Ep10000: 2038 steps (0.0006 hrs) 19 sec, Max 11540 steps
[77] Ep10000: 2120 steps (0.0006 hrs) 15 sec, Max 11540 steps
[78] Ep10000: 1582 steps (0.0004 hrs) 15 sec, Max 11540 steps
[79] Ep10000: 2318 steps (0.0006 hrs) 17 sec, Max 11540 steps
[80] Ep10000: 2576 steps (0.0007 hrs) 23 sec, Max 11540 steps
[81] Ep10000: 2172 steps (0.0006 hrs) 25 sec, Max 11540 steps
