balanced 0 test_flag 0
[1] Ep10000: 2579 steps (0.0007 hrs) 10 sec, Max 2579 steps
[2] Ep10000: 2640 steps (0.0007 hrs) 7 sec, Max 2640 steps
[3] Ep10000: 2554 steps (0.0007 hrs) 10 sec, Max 2640 steps
[4] Ep10000: 2221 steps (0.0006 hrs) 6 sec, Max 2640 steps
[5] Ep10000: 2535 steps (0.0007 hrs) 6 sec, Max 2640 steps
[6] Ep10000: 2338 steps (0.0006 hrs) 11 sec, Max 2640 steps
[7] Ep10000: 2470 steps (0.0007 hrs) 10 sec, Max 2640 steps
[8] Ep10000: 2527 steps (0.0007 hrs) 9 sec, Max 2640 steps
[9] Ep10000: 2052 steps (0.0006 hrs) 11 sec, Max 2640 steps
[10] Ep10000: 3021 steps (0.0008 hrs) 8 sec, Max 3021 steps
[11] Ep10000: 2198 steps (0.0006 hrs) 8 sec, Max 3021 steps
[12] Ep10000: 3073 steps (0.0009 hrs) 9 sec, Max 3073 steps
[13] Ep10000: 2260 steps (0.0006 hrs) 10 sec, Max 3073 steps
[14] Ep10000: 2391 steps (0.0007 hrs) 10 sec, Max 3073 steps
[15] Ep10000: 2738 steps (0.0008 hrs) 9 sec, Max 3073 steps
[16] Ep10000: 2323 steps (0.0006 hrs) 10 sec, Max 3073 steps
[17] Ep10000: 2140 steps (0.0006 hrs) 10 sec, Max 3073 steps
[18] Ep10000: 2045 steps (0.0006 hrs) 10 sec, Max 3073 steps
[19] Ep10000: 1960 steps (0.0005 hrs) 10 sec, Max 3073 steps
[20] Ep10000: 4513 steps (0.0013 hrs) 14 sec, Max 4513 steps
[21] Ep10000: 3179 steps (0.0009 hrs) 12 sec, Max 4513 steps
[22] Ep10000: 2636 steps (0.0007 hrs) 10 sec, Max 4513 steps
[23] Ep10000: 2958 steps (0.0008 hrs) 10 sec, Max 4513 steps
[24] Ep10000: 2101 steps (0.0006 hrs) 8 sec, Max 4513 steps
[25] Ep10000: 1962 steps (0.0005 hrs) 10 sec, Max 4513 steps
[26] Ep10000: 2157 steps (0.0006 hrs) 9 sec, Max 4513 steps
[27] Ep10000: 2686 steps (0.0007 hrs) 10 sec, Max 4513 steps
[28] Ep10000: 2412 steps (0.0007 hrs) 11 sec, Max 4513 steps
[29] Ep10000: 2089 steps (0.0006 hrs) 9 sec, Max 4513 steps
[30] Ep10000: 2038 steps (0.0006 hrs) 10 sec, Max 4513 steps
[31] Ep10000: 2400 steps (0.0007 hrs) 10 sec, Max 4513 steps
[32] Ep10000: 2483 steps (0.0007 hrs) 10 sec, Max 4513 steps
[33] Ep10000: 2194 steps (0.0006 hrs) 10 sec, Max 4513 steps
[34] Ep10000: 1917 steps (0.0005 hrs) 9 sec, Max 4513 steps
[35] Ep10000: 2653 steps (0.0007 hrs) 9 sec, Max 4513 steps
[36] Ep10000: 1986 steps (0.0006 hrs) 7 sec, Max 4513 steps
[37] Ep10000: 3164 steps (0.0009 hrs) 10 sec, Max 4513 steps
[38] Ep10000: 1875 steps (0.0005 hrs) 9 sec, Max 4513 steps
[39] Ep10000: 1754 steps (0.0005 hrs) 9 sec, Max 4513 steps
[40] Ep10000: 2869 steps (0.0008 hrs) 9 sec, Max 4513 steps
[41] Ep10000: 2658 steps (0.0007 hrs) 8 sec, Max 4513 steps
[42] Ep10000: 2171 steps (0.0006 hrs) 9 sec, Max 4513 steps
[43] Ep10000: 2023 steps (0.0006 hrs) 10 sec, Max 4513 steps
[44] Ep10000: 2680 steps (0.0007 hrs) 10 sec, Max 4513 steps
[45] Ep10000: 2345 steps (0.0007 hrs) 10 sec, Max 4513 steps
[46] Ep10000: 2569 steps (0.0007 hrs) 10 sec, Max 4513 steps
[47] Ep10000: 2607 steps (0.0007 hrs) 11 sec, Max 4513 steps
[48] Ep10000: 2299 steps (0.0006 hrs) 10 sec, Max 4513 steps
[49] Ep10000: 2417 steps (0.0007 hrs) 9 sec, Max 4513 steps
[50] Ep10000: 2155 steps (0.0006 hrs) 10 sec, Max 4513 steps
[51] Ep10000: 1987 steps (0.0006 hrs) 10 sec, Max 4513 steps
[52] Ep10000: 2733 steps (0.0008 hrs) 10 sec, Max 4513 steps
[53] Ep10000: 2163 steps (0.0006 hrs) 8 sec, Max 4513 steps
[54] Ep10000: 2209 steps (0.0006 hrs) 10 sec, Max 4513 steps
[55] Ep10000: 2873 steps (0.0008 hrs) 8 sec, Max 4513 steps
[56] Ep10000: 3461 steps (0.0010 hrs) 12 sec, Max 4513 steps
[57] Ep10000: 2182 steps (0.0006 hrs) 9 sec, Max 4513 steps
[58] Ep10000: 2235 steps (0.0006 hrs) 8 sec, Max 4513 steps
[59] Ep10000: 2143 steps (0.0006 hrs) 7 sec, Max 4513 steps
[60] Ep10000: 1943 steps (0.0005 hrs) 7 sec, Max 4513 steps
[61] Ep10000: 1821 steps (0.0005 hrs) 8 sec, Max 4513 steps
[62] Ep10000: 2555 steps (0.0007 hrs) 10 sec, Max 4513 steps
[63] Ep10000: 2141 steps (0.0006 hrs) 10 sec, Max 4513 steps
[64] Ep10000: 2121 steps (0.0006 hrs) 10 sec, Max 4513 steps
[65] Ep10000: 2806 steps (0.0008 hrs) 9 sec, Max 4513 steps
[66] Ep10000: 2123 steps (0.0006 hrs) 10 sec, Max 4513 steps
[67] Ep10000: 2564 steps (0.0007 hrs) 10 sec, Max 4513 steps
[68] Ep10000: 2431 steps (0.0007 hrs) 9 sec, Max 4513 steps
[69] Ep10000: 2052 steps (0.0006 hrs) 10 sec, Max 4513 steps
[70] Ep10000: 2260 steps (0.0006 hrs) 10 sec, Max 4513 steps
[71] Ep10000: 2563 steps (0.0007 hrs) 10 sec, Max 4513 steps
[72] Ep10000: 2297 steps (0.0006 hrs) 10 sec, Max 4513 steps
[73] Ep10000: 2113 steps (0.0006 hrs) 10 sec, Max 4513 steps
[74] Ep10000: 2396 steps (0.0007 hrs) 10 sec, Max 4513 steps
[75] Ep10000: 2104 steps (0.0006 hrs) 10 sec, Max 4513 steps
[76] Ep10000: 2502 steps (0.0007 hrs) 10 sec, Max 4513 steps
[77] Ep10000: 1868 steps (0.0005 hrs) 10 sec, Max 4513 steps
[78] Ep10000: 2531 steps (0.0007 hrs) 11 sec, Max 4513 steps
[79] Ep10000: 2576 steps (0.0007 hrs) 11 sec, Max 4513 steps
[80] Ep10000: 2487 steps (0.0007 hrs) 10 sec, Max 4513 steps
[81] Ep10000: 2314 steps (0.0006 hrs) 8 sec, Max 4513 steps
[82] Ep10000: 2536 steps (0.0007 hrs) 10 sec, Max 4513 steps
[83] Ep10000: 1942 steps (0.0005 hrs) 9 sec, Max 4513 steps
[84] Ep10000: 2129 steps (0.0006 hrs) 8 sec, Max 4513 steps
[85] Ep10000: 3104 steps (0.0009 hrs) 9 sec, Max 4513 steps
[86] Ep10000: 2546 steps (0.0007 hrs) 10 sec, Max 4513 steps
[87] Ep10000: 2889 steps (0.0008 hrs) 10 sec, Max 4513 steps
[88] Ep10000: 2179 steps (0.0006 hrs) 11 sec, Max 4513 steps
[89] Ep10000: 2723 steps (0.0008 hrs) 9 sec, Max 4513 steps
[90] Ep10000: 1945 steps (0.0005 hrs) 10 sec, Max 4513 steps
[91] Ep10000: 2240 steps (0.0006 hrs) 10 sec, Max 4513 steps
