balanced 0 test_flag 0
[Run 75] Ep10000: 2363 steps (0.0007 hrs) 10 sec, Max 6436 steps
[Run 76] Ep10000: 2189 steps (0.0006 hrs) 10 sec, Max 6436 steps
[Run 77] Ep10000: 2074 steps (0.0006 hrs) 10 sec, Max 6436 steps
[Run 78] Ep10000: 4239 steps (0.0012 hrs) 12 sec, Max 6436 steps
[Run 79] Ep10000: 2248 steps (0.0006 hrs) 8 sec, Max 6436 steps
[Run 80] Ep10000: 2421 steps (0.0007 hrs) 10 sec, Max 6436 steps
[Run 81] Ep10000: 5632 steps (0.0016 hrs) 13 sec, Max 6436 steps
[Run 82] Ep10000: 1916 steps (0.0005 hrs) 10 sec, Max 6436 steps
[Run 83] Ep10000: 2179 steps (0.0006 hrs) 11 sec, Max 6436 steps
[Run 84] Ep10000: 2031 steps (0.0006 hrs) 10 sec, Max 6436 steps
[Run 85] Ep10000: 3035 steps (0.0008 hrs) 9 sec, Max 6436 steps
[Run 86] Ep10000: 2471 steps (0.0007 hrs) 11 sec, Max 6436 steps
[Run 87] Ep10000: 2198 steps (0.0006 hrs) 10 sec, Max 6436 steps
[Run 88] Ep10000: 2873 steps (0.0008 hrs) 11 sec, Max 6436 steps
[Run 89] Ep10000: 1987 steps (0.0006 hrs) 11 sec, Max 6436 steps
[Run 90] Ep10000: 2435 steps (0.0007 hrs) 10 sec, Max 6436 steps
[Run 91] Ep10000: 2199 steps (0.0006 hrs) 10 sec, Max 6436 steps
[Run 92] Ep10000: 2144 steps (0.0006 hrs) 11 sec, Max 6436 steps
[Run 93] Ep10000: 1740 steps (0.0005 hrs) 9 sec, Max 6436 steps
[Run 94] Ep10000: 2456 steps (0.0007 hrs) 10 sec, Max 6436 steps
[Run 95] Ep10000: 2120 steps (0.0006 hrs) 10 sec, Max 6436 steps
[Run 96] Ep10000: 3223 steps (0.0009 hrs) 10 sec, Max 6436 steps
[Run 97] Ep10000: 3644 steps (0.0010 hrs) 10 sec, Max 6436 steps
[Run 98] Ep10000: 2587 steps (0.0007 hrs) 10 sec, Max 6436 steps
[Run 99] Ep10000: 1928 steps (0.0005 hrs) 10 sec, Max 6436 steps
[Run 100] Ep10000: 2018 steps (0.0006 hrs) 10 sec, Max 6436 steps
[Run 101] Ep10000: 2123 steps (0.0006 hrs) 10 sec, Max 6436 steps
[Run 102] Ep10000: 4814 steps (0.0013 hrs) 14 sec, Max 6436 steps
[Run 103] Ep10000: 2248 steps (0.0006 hrs) 10 sec, Max 6436 steps
[Run 104] Ep10000: 3790 steps (0.0011 hrs) 10 sec, Max 6436 steps
[Run 105] Ep10000: 2370 steps (0.0007 hrs) 10 sec, Max 6436 steps
[Run 106] Ep10000: 2061 steps (0.0006 hrs) 10 sec, Max 6436 steps
[Run 107] Ep10000: 4131 steps (0.0011 hrs) 10 sec, Max 6436 steps
[Run 108] Ep10000: 5806 steps (0.0016 hrs) 14 sec, Max 6436 steps
[Run 109] Ep10000: 3817 steps (0.0011 hrs) 10 sec, Max 6436 steps
[Run 110] Ep10000: 1881 steps (0.0005 hrs) 10 sec, Max 6436 steps
[Run 111] Ep10000: 2264 steps (0.0006 hrs) 10 sec, Max 6436 steps
[Run 112] Ep10000: 2069 steps (0.0006 hrs) 11 sec, Max 6436 steps
[Run 113] Ep10000: 2151 steps (0.0006 hrs) 10 sec, Max 6436 steps
[Run 114] Ep10000: 2198 steps (0.0006 hrs) 11 sec, Max 6436 steps
[Run 115] Ep10000: 4745 steps (0.0013 hrs) 10 sec, Max 6436 steps
[Run 116] Ep10000: 2740 steps (0.0008 hrs) 12 sec, Max 6436 steps
[Run 117] Ep10000: 4157 steps (0.0012 hrs) 12 sec, Max 6436 steps
[Run 118] Ep10000: 1881 steps (0.0005 hrs) 10 sec, Max 6436 steps
[Run 119] Ep10000: 2714 steps (0.0008 hrs) 10 sec, Max 6436 steps
[Run 120] Ep10000: 5426 steps (0.0015 hrs) 12 sec, Max 6436 steps
[Run 121] Ep10000: 3722 steps (0.0010 hrs) 9 sec, Max 6436 steps
[Run 122] Ep10000: 2029 steps (0.0006 hrs) 11 sec, Max 6436 steps
[Run 123] Ep10000: 1921 steps (0.0005 hrs) 9 sec, Max 6436 steps
[Run 124] Ep10000: 2384 steps (0.0007 hrs) 10 sec, Max 6436 steps
[Run 125] Ep10000: 2628 steps (0.0007 hrs) 9 sec, Max 6436 steps
[Run 126] Ep10000: 2686 steps (0.0007 hrs) 10 sec, Max 6436 steps
[Run 127] Ep10000: 2224 steps (0.0006 hrs) 10 sec, Max 6436 steps
[Run 128] Ep10000: 1987 steps (0.0006 hrs) 11 sec, Max 6436 steps
[Run 129] Ep10000: 1906 steps (0.0005 hrs) 9 sec, Max 6436 steps
[Run 130] Ep10000: 2967 steps (0.0008 hrs) 10 sec, Max 6436 steps
[Run 131] Ep10000: 2116 steps (0.0006 hrs) 10 sec, Max 6436 steps
[Run 132] Ep10000: 2832 steps (0.0008 hrs) 12 sec, Max 6436 steps
[Run 133] Ep10000: 2369 steps (0.0007 hrs) 10 sec, Max 6436 steps
[Run 134] Ep10000: 2535 steps (0.0007 hrs) 10 sec, Max 6436 steps
[Run 135] Ep10000: 2076 steps (0.0006 hrs) 9 sec, Max 6436 steps
[Run 136] Ep10000: 2200 steps (0.0006 hrs) 10 sec, Max 6436 steps
[Run 137] Ep10000: 2644 steps (0.0007 hrs) 10 sec, Max 6436 steps
[Run 138] Ep10000: 2317 steps (0.0006 hrs) 11 sec, Max 6436 steps
[Run 139] Ep10000: 2171 steps (0.0006 hrs) 10 sec, Max 6436 steps
[Run 140] Ep10000: 2751 steps (0.0008 hrs) 11 sec, Max 6436 steps
[Run 141] Ep10000: 2804 steps (0.0008 hrs) 11 sec, Max 6436 steps
[Run 142] Ep10000: 2084 steps (0.0006 hrs) 10 sec, Max 6436 steps
[Run 143] Ep10000: 5203 steps (0.0014 hrs) 10 sec, Max 6436 steps
[Run 144] Ep10000: 5352 steps (0.0015 hrs) 14 sec, Max 6436 steps
[Run 145] Ep10000: 3764 steps (0.0010 hrs) 9 sec, Max 6436 steps
[Run 146] Ep10000: 1969 steps (0.0005 hrs) 10 sec, Max 6436 steps
[Run 147] Ep10000: 1807 steps (0.0005 hrs) 11 sec, Max 6436 steps
[Run 148] Ep10000: 2526 steps (0.0007 hrs) 11 sec, Max 6436 steps
[Run 149] Ep10000: 2243 steps (0.0006 hrs) 9 sec, Max 6436 steps
[Run 150] Ep10000: 1871 steps (0.0005 hrs) 10 sec, Max 6436 steps
[Run 151] Ep10000: 3282 steps (0.0009 hrs) 8 sec, Max 6436 steps
[Run 152] Ep10000: 2439 steps (0.0007 hrs) 11 sec, Max 6436 steps
[Run 153] Ep10000: 2068 steps (0.0006 hrs) 9 sec, Max 6436 steps
[Run 154] Ep10000: 3713 steps (0.0010 hrs) 11 sec, Max 6436 steps
[Run 155] Ep10000: 2495 steps (0.0007 hrs) 10 sec, Max 6436 steps
[Run 156] Ep10000: 2350 steps (0.0007 hrs) 10 sec, Max 6436 steps
[Run 157] Ep10000: 2374 steps (0.0007 hrs) 10 sec, Max 6436 steps
[Run 158] Ep10000: 2535 steps (0.0007 hrs) 9 sec, Max 6436 steps
[Run 159] Ep10000: 2265 steps (0.0006 hrs) 10 sec, Max 6436 steps
[Run 160] Ep10000: 2203 steps (0.0006 hrs) 10 sec, Max 6436 steps
[Run 161] Ep10000: 2148 steps (0.0006 hrs) 10 sec, Max 6436 steps
[Run 162] Ep10000: 2032 steps (0.0006 hrs) 10 sec, Max 6436 steps
[Run 163] Ep10000: 3484 steps (0.0010 hrs) 9 sec, Max 6436 steps
[Run 164] Ep10000: 2058 steps (0.0006 hrs) 9 sec, Max 6436 steps
[Run 165] Ep10000: 2225 steps (0.0006 hrs) 11 sec, Max 6436 steps
[Run 166] Ep10000: 5571 steps (0.0015 hrs) 13 sec, Max 6436 steps
[Run 167] Ep10000: 2174 steps (0.0006 hrs) 10 sec, Max 6436 steps
[Run 168] Ep10000: 1896 steps (0.0005 hrs) 11 sec, Max 6436 steps
[Run 169] Ep10000: 3813 steps (0.0011 hrs) 11 sec, Max 6436 steps
[Run 170] Ep10000: 2444 steps (0.0007 hrs) 9 sec, Max 6436 steps
[Run 171] Ep10000: 2317 steps (0.0006 hrs) 10 sec, Max 6436 steps
[Run 172] Ep10000: 1965 steps (0.0005 hrs) 10 sec, Max 6436 steps
[Run 173] Ep10000: 5123 steps (0.0014 hrs) 12 sec, Max 6436 steps
[Run 174] Ep10000: 2639 steps (0.0007 hrs) 10 sec, Max 6436 steps
[Run 175] Ep10000: 1800 steps (0.0005 hrs) 10 sec, Max 6436 steps
[Run 176] Ep10000: 1867 steps (0.0005 hrs) 10 sec, Max 6436 steps
[Run 177] Ep10000: 3196 steps (0.0009 hrs) 10 sec, Max 6436 steps
[Run 178] Ep10000: 2378 steps (0.0007 hrs) 9 sec, Max 6436 steps
[Run 179] Ep10000: 2098 steps (0.0006 hrs) 10 sec, Max 6436 steps
[Run 180] Ep10000: 3216 steps (0.0009 hrs) 10 sec, Max 6436 steps
[Run 181] Ep10000: 1912 steps (0.0005 hrs) 11 sec, Max 6436 steps
[Run 182] Ep10000: 2129 steps (0.0006 hrs) 10 sec, Max 6436 steps
[Run 183] Ep10000: 6599 steps (0.0018 hrs) 13 sec, Max 6599 steps
[Run 184] Ep10000: 2370 steps (0.0007 hrs) 10 sec, Max 6599 steps
[Run 185] Ep10000: 2141 steps (0.0006 hrs) 11 sec, Max 6599 steps
[Run 186] Ep10000: 2049 steps (0.0006 hrs) 10 sec, Max 6599 steps
[Run 187] Ep10000: 2141 steps (0.0006 hrs) 10 sec, Max 6599 steps
[Run 188] Ep10000: 4500 steps (0.0013 hrs) 10 sec, Max 6599 steps
[Run 189] Ep10000: 2223 steps (0.0006 hrs) 10 sec, Max 6599 steps
[Run 190] Ep10000: 2198 steps (0.0006 hrs) 10 sec, Max 6599 steps
[Run 191] Ep10000: 2261 steps (0.0006 hrs) 11 sec, Max 6599 steps
[Run 192] Ep10000: 2495 steps (0.0007 hrs) 10 sec, Max 6599 steps
[Run 193] Ep10000: 2367 steps (0.0007 hrs) 10 sec, Max 6599 steps
[Run 194] Ep10000: 5871 steps (0.0016 hrs) 11 sec, Max 6599 steps
[Run 195] Ep10000: 2502 steps (0.0007 hrs) 10 sec, Max 6599 steps
[Run 196] Ep10000: 2003 steps (0.0006 hrs) 11 sec, Max 6599 steps
[Run 197] Ep10000: 3253 steps (0.0009 hrs) 10 sec, Max 6599 steps
[Run 198] Ep10000: 4140 steps (0.0012 hrs) 12 sec, Max 6599 steps
[Run 199] Ep10000: 2718 steps (0.0008 hrs) 11 sec, Max 6599 steps
[Run 200] Ep10000: 2684 steps (0.0007 hrs) 10 sec, Max 6599 steps
[Run 201] Ep10000: 2223 steps (0.0006 hrs) 10 sec, Max 6599 steps
[Run 202] Ep10000: 5196 steps (0.0014 hrs) 12 sec, Max 6599 steps
[Run 203] Ep10000: 2667 steps (0.0007 hrs) 10 sec, Max 6599 steps
[Run 204] Ep10000: 3693 steps (0.0010 hrs) 10 sec, Max 6599 steps
[Run 205] Ep10000: 3896 steps (0.0011 hrs) 10 sec, Max 6599 steps
[Run 206] Ep10000: 4971 steps (0.0014 hrs) 15 sec, Max 6599 steps
[Run 207] Ep10000: 2091 steps (0.0006 hrs) 10 sec, Max 6599 steps
[Run 208] Ep10000: 2422 steps (0.0007 hrs) 10 sec, Max 6599 steps
[Run 209] Ep10000: 2241 steps (0.0006 hrs) 10 sec, Max 6599 steps
[Run 210] Ep10000: 4394 steps (0.0012 hrs) 10 sec, Max 6599 steps
[Run 211] Ep10000: 2587 steps (0.0007 hrs) 11 sec, Max 6599 steps
[Run 212] Ep10000: 2611 steps (0.0007 hrs) 10 sec, Max 6599 steps
[Run 213] Ep10000: 2582 steps (0.0007 hrs) 11 sec, Max 6599 steps
[Run 214] Ep10000: 2384 steps (0.0007 hrs) 10 sec, Max 6599 steps
[Run 215] Ep10000: 4395 steps (0.0012 hrs) 10 sec, Max 6599 steps
[Run 216] Ep10000: 5015 steps (0.0014 hrs) 11 sec, Max 6599 steps
[Run 217] Ep10000: 2201 steps (0.0006 hrs) 10 sec, Max 6599 steps
[Run 218] Ep10000: 2547 steps (0.0007 hrs) 10 sec, Max 6599 steps
