balanced 0 test_flag 0
[80] Ep10000: 2215 steps (0.0006 hrs) 19 sec, Max 13149 steps
[81] Ep10000: 2263 steps (0.0006 hrs) 20 sec, Max 13149 steps
[82] Ep10000: 1834 steps (0.0005 hrs) 20 sec, Max 13149 steps
[83] Ep10000: 1768 steps (0.0005 hrs) 20 sec, Max 13149 steps
[84] Ep10000: 1664 steps (0.0005 hrs) 19 sec, Max 13149 steps
[85] Ep10000: 1759 steps (0.0005 hrs) 21 sec, Max 13149 steps
[86] Ep10000: 2474 steps (0.0007 hrs) 19 sec, Max 13149 steps
[87] Ep10000: 4080 steps (0.0011 hrs) 23 sec, Max 13149 steps
[88] Ep10000: 1722 steps (0.0005 hrs) 20 sec, Max 13149 steps
[89] Ep10000: 5241 steps (0.0015 hrs) 32 sec, Max 13149 steps
[90] Ep10000: 4330 steps (0.0012 hrs) 33 sec, Max 13149 steps
[91] Ep10000: 6943 steps (0.0019 hrs) 31 sec, Max 13149 steps
[92] Ep10000: 1941 steps (0.0005 hrs) 20 sec, Max 13149 steps
[93] Ep10000: 2033 steps (0.0006 hrs) 20 sec, Max 13149 steps
[94] Ep10000: 1976 steps (0.0005 hrs) 19 sec, Max 13149 steps
[95] Ep10000: 1899 steps (0.0005 hrs) 20 sec, Max 13149 steps
[96] Ep10000: 1971 steps (0.0005 hrs) 23 sec, Max 13149 steps
[97] Ep10000: 2174 steps (0.0006 hrs) 55 sec, Max 13149 steps
[98] Ep10000: 1976 steps (0.0005 hrs) 52 sec, Max 13149 steps
[99] Ep10000: 1692 steps (0.0005 hrs) 35 sec, Max 13149 steps
[100] Ep10000: 2263 steps (0.0006 hrs) 29 sec, Max 13149 steps
[101] Ep10000: 6708 steps (0.0019 hrs) 30 sec, Max 13149 steps
[102] Ep10000: 1562 steps (0.0004 hrs) 19 sec, Max 13149 steps
[103] Ep10000: 1755 steps (0.0005 hrs) 18 sec, Max 13149 steps
[104] Ep10000: 2480 steps (0.0007 hrs) 17 sec, Max 13149 steps
[105] Ep10000: 1479 steps (0.0004 hrs) 16 sec, Max 13149 steps
[106] Ep10000: 7779 steps (0.0022 hrs) 26 sec, Max 13149 steps
[107] Ep10000: 2477 steps (0.0007 hrs) 59 sec, Max 13149 steps
[108] Ep10000: 2123 steps (0.0006 hrs) 40 sec, Max 13149 steps
[109] Ep10000: 8101 steps (0.0023 hrs) 56 sec, Max 13149 steps
[110] Ep10000: 5948 steps (0.0017 hrs) 28 sec, Max 13149 steps
[111] Ep10000: 1594 steps (0.0004 hrs) 16 sec, Max 13149 steps
[112] Ep10000: 2372 steps (0.0007 hrs) 17 sec, Max 13149 steps
[113] Ep10000: 2389 steps (0.0007 hrs) 25 sec, Max 13149 steps
[114] Ep10000: 1803 steps (0.0005 hrs) 16 sec, Max 13149 steps
[115] Ep10000: 7417 steps (0.0021 hrs) 29 sec, Max 13149 steps
[116] Ep10000: 4949 steps (0.0014 hrs) 28 sec, Max 13149 steps
[117] Ep10000: 2493 steps (0.0007 hrs) 25 sec, Max 13149 steps
[118] Ep10000: 1699 steps (0.0005 hrs) 18 sec, Max 13149 steps
[119] Ep10000: 1671 steps (0.0005 hrs) 16 sec, Max 13149 steps
[120] Ep10000: 6202 steps (0.0017 hrs) 19 sec, Max 13149 steps
[121] Ep10000: 1403 steps (0.0004 hrs) 18 sec, Max 13149 steps
[122] Ep10000: 1448 steps (0.0004 hrs) 16 sec, Max 13149 steps
[123] Ep10000: 1563 steps (0.0004 hrs) 16 sec, Max 13149 steps
[124] Ep10000: 2231 steps (0.0006 hrs) 17 sec, Max 13149 steps
[125] Ep10000: 2475 steps (0.0007 hrs) 25 sec, Max 13149 steps
[126] Ep10000: 1735 steps (0.0005 hrs) 17 sec, Max 13149 steps
[127] Ep10000: 2405 steps (0.0007 hrs) 26 sec, Max 13149 steps
[128] Ep10000: 3504 steps (0.0010 hrs) 19 sec, Max 13149 steps
[129] Ep10000: 1913 steps (0.0005 hrs) 25 sec, Max 13149 steps
[130] Ep10000: 1612 steps (0.0004 hrs) 16 sec, Max 13149 steps
[131] Ep10000: 2212 steps (0.0006 hrs) 18 sec, Max 13149 steps
[132] Ep10000: 1620 steps (0.0005 hrs) 17 sec, Max 13149 steps
