balanced 0 test_flag 0
[1] Ep10000: 1731 steps (0.0005 hrs) 15 sec, Max 1731 steps
[2] Ep10000: 5109 steps (0.0014 hrs) 21 sec, Max 5109 steps
[3] Ep10000: 2955 steps (0.0008 hrs) 23 sec, Max 5109 steps
[4] Ep10000: 1806 steps (0.0005 hrs) 13 sec, Max 5109 steps
[5] Ep10000: 1590 steps (0.0004 hrs) 14 sec, Max 5109 steps
[6] Ep10000: 1766 steps (0.0005 hrs) 13 sec, Max 5109 steps
[7] Ep10000: 2930 steps (0.0008 hrs) 29 sec, Max 5109 steps
[8] Ep10000: 1976 steps (0.0005 hrs) 23 sec, Max 5109 steps
[9] Ep10000: 1483 steps (0.0004 hrs) 13 sec, Max 5109 steps
[10] Ep10000: 5166 steps (0.0014 hrs) 24 sec, Max 5166 steps
[11] Ep10000: 6945 steps (0.0019 hrs) 38 sec, Max 6945 steps
[12] Ep10000: 1519 steps (0.0004 hrs) 12 sec, Max 6945 steps
[13] Ep10000: 1940 steps (0.0005 hrs) 19 sec, Max 6945 steps
[14] Ep10000: 2271 steps (0.0006 hrs) 25 sec, Max 6945 steps
[15] Ep10000: 2020 steps (0.0006 hrs) 12 sec, Max 6945 steps
[16] Ep10000: 1627 steps (0.0005 hrs) 13 sec, Max 6945 steps
[17] Ep10000: 1755 steps (0.0005 hrs) 12 sec, Max 6945 steps
[18] Ep10000: 1802 steps (0.0005 hrs) 15 sec, Max 6945 steps
[19] Ep10000: 5415 steps (0.0015 hrs) 26 sec, Max 6945 steps
[20] Ep10000: 3920 steps (0.0011 hrs) 19 sec, Max 6945 steps
[21] Ep10000: 1860 steps (0.0005 hrs) 14 sec, Max 6945 steps
[22] Ep10000: 2173 steps (0.0006 hrs) 14 sec, Max 6945 steps
[23] Ep10000: 4649 steps (0.0013 hrs) 19 sec, Max 6945 steps
[24] Ep10000: 1940 steps (0.0005 hrs) 15 sec, Max 6945 steps
[25] Ep10000: 3311 steps (0.0009 hrs) 24 sec, Max 6945 steps
[26] Ep10000: 2222 steps (0.0006 hrs) 23 sec, Max 6945 steps
[27] Ep10000: 1876 steps (0.0005 hrs) 13 sec, Max 6945 steps
[28] Ep10000: 3175 steps (0.0009 hrs) 27 sec, Max 6945 steps
[29] Ep10000: 3541 steps (0.0010 hrs) 26 sec, Max 6945 steps
[30] Ep10000: 1227 steps (0.0003 hrs) 14 sec, Max 6945 steps
[31] Ep10000: 3772 steps (0.0010 hrs) 23 sec, Max 6945 steps
[32] Ep10000: 2389 steps (0.0007 hrs) 14 sec, Max 6945 steps
[33] Ep10000: 2640 steps (0.0007 hrs) 25 sec, Max 6945 steps
[34] Ep10000: 2470 steps (0.0007 hrs) 18 sec, Max 6945 steps
[35] Ep10000: 4342 steps (0.0012 hrs) 22 sec, Max 6945 steps
[36] Ep10000: 18048 steps (0.0050 hrs) 45 sec, Max 18048 steps
[37] Ep10000: 2396 steps (0.0007 hrs) 13 sec, Max 18048 steps
[38] Ep10000: 2357 steps (0.0007 hrs) 25 sec, Max 18048 steps
[39] Ep10000: 1669 steps (0.0005 hrs) 16 sec, Max 18048 steps
[40] Ep10000: 1819 steps (0.0005 hrs) 13 sec, Max 18048 steps
[41] Ep10000: 4495 steps (0.0012 hrs) 22 sec, Max 18048 steps
[42] Ep10000: 9115 steps (0.0025 hrs) 19 sec, Max 18048 steps
[43] Ep10000: 2136 steps (0.0006 hrs) 13 sec, Max 18048 steps
[44] Ep10000: 2270 steps (0.0006 hrs) 24 sec, Max 18048 steps
[45] Ep10000: 1404 steps (0.0004 hrs) 13 sec, Max 18048 steps
[46] Ep10000: 1497 steps (0.0004 hrs) 12 sec, Max 18048 steps
[47] Ep10000: 3059 steps (0.0008 hrs) 27 sec, Max 18048 steps
[48] Ep10000: 3836 steps (0.0011 hrs) 20 sec, Max 18048 steps
[49] Ep10000: 8573 steps (0.0024 hrs) 27 sec, Max 18048 steps
[50] Ep10000: 4556 steps (0.0013 hrs) 23 sec, Max 18048 steps
[51] Ep10000: 3853 steps (0.0011 hrs) 26 sec, Max 18048 steps
[52] Ep10000: 1937 steps (0.0005 hrs) 25 sec, Max 18048 steps
[53] Ep10000: 3969 steps (0.0011 hrs) 26 sec, Max 18048 steps
[54] Ep10000: 1384 steps (0.0004 hrs) 13 sec, Max 18048 steps
[55] Ep10000: 11169 steps (0.0031 hrs) 51 sec, Max 18048 steps
[56] Ep10000: 1688 steps (0.0005 hrs) 16 sec, Max 18048 steps
[57] Ep10000: 1889 steps (0.0005 hrs) 13 sec, Max 18048 steps
[58] Ep10000: 4037 steps (0.0011 hrs) 26 sec, Max 18048 steps
[59] Ep10000: 3795 steps (0.0011 hrs) 27 sec, Max 18048 steps
[60] Ep10000: 1770 steps (0.0005 hrs) 16 sec, Max 18048 steps
