balanced 0 test_flag 0
[80] Ep10000: 1983 steps (0.0006 hrs) 24 sec, Max 8110 steps
[81] Ep10000: 3698 steps (0.0010 hrs) 32 sec, Max 8110 steps
[82] Ep10000: 4805 steps (0.0013 hrs) 50 sec, Max 8110 steps
[83] Ep10000: 2977 steps (0.0008 hrs) 73 sec, Max 8110 steps
[84] Ep10000: 2259 steps (0.0006 hrs) 37 sec, Max 8110 steps
[85] Ep10000: 1938 steps (0.0005 hrs) 20 sec, Max 8110 steps
[86] Ep10000: 2139 steps (0.0006 hrs) 29 sec, Max 8110 steps
[87] Ep10000: 1697 steps (0.0005 hrs) 17 sec, Max 8110 steps
[88] Ep10000: 2212 steps (0.0006 hrs) 24 sec, Max 8110 steps
[89] Ep10000: 2852 steps (0.0008 hrs) 22 sec, Max 8110 steps
[90] Ep10000: 2143 steps (0.0006 hrs) 39 sec, Max 8110 steps
[91] Ep10000: 2372 steps (0.0007 hrs) 63 sec, Max 8110 steps
[92] Ep10000: 2533 steps (0.0007 hrs) 44 sec, Max 8110 steps
[93] Ep10000: 2398 steps (0.0007 hrs) 26 sec, Max 8110 steps
[94] Ep10000: 1875 steps (0.0005 hrs) 13 sec, Max 8110 steps
[95] Ep10000: 2148 steps (0.0006 hrs) 25 sec, Max 8110 steps
[96] Ep10000: 2091 steps (0.0006 hrs) 18 sec, Max 8110 steps
[97] Ep10000: 1607 steps (0.0004 hrs) 12 sec, Max 8110 steps
[98] Ep10000: 6816 steps (0.0019 hrs) 21 sec, Max 8110 steps
[99] Ep10000: 1583 steps (0.0004 hrs) 15 sec, Max 8110 steps
[100] Ep10000: 1996 steps (0.0006 hrs) 25 sec, Max 8110 steps
[101] Ep10000: 2248 steps (0.0006 hrs) 20 sec, Max 8110 steps
[102] Ep10000: 2374 steps (0.0007 hrs) 18 sec, Max 8110 steps
[103] Ep10000: 2201 steps (0.0006 hrs) 26 sec, Max 8110 steps
[104] Ep10000: 1567 steps (0.0004 hrs) 14 sec, Max 8110 steps
[105] Ep10000: 2360 steps (0.0007 hrs) 21 sec, Max 8110 steps
[106] Ep10000: 2055 steps (0.0006 hrs) 22 sec, Max 8110 steps
[107] Ep10000: 2501 steps (0.0007 hrs) 25 sec, Max 8110 steps
[108] Ep10000: 1814 steps (0.0005 hrs) 25 sec, Max 8110 steps
[109] Ep10000: 2049 steps (0.0006 hrs) 26 sec, Max 8110 steps
[110] Ep10000: 1231 steps (0.0003 hrs) 11 sec, Max 8110 steps
[111] Ep10000: 3936 steps (0.0011 hrs) 17 sec, Max 8110 steps
[112] Ep10000: 2630 steps (0.0007 hrs) 25 sec, Max 8110 steps
[113] Ep10000: 1687 steps (0.0005 hrs) 19 sec, Max 8110 steps
[114] Ep10000: 2323 steps (0.0006 hrs) 24 sec, Max 8110 steps
[115] Ep10000: 1987 steps (0.0006 hrs) 25 sec, Max 8110 steps
[116] Ep10000: 1895 steps (0.0005 hrs) 13 sec, Max 8110 steps
[117] Ep10000: 2937 steps (0.0008 hrs) 25 sec, Max 8110 steps
[118] Ep10000: 1395 steps (0.0004 hrs) 15 sec, Max 8110 steps
[119] Ep10000: 2007 steps (0.0006 hrs) 22 sec, Max 8110 steps
[120] Ep10000: 1890 steps (0.0005 hrs) 16 sec, Max 8110 steps
[121] Ep10000: 1767 steps (0.0005 hrs) 14 sec, Max 8110 steps
[122] Ep10000: 2360 steps (0.0007 hrs) 24 sec, Max 8110 steps
[123] Ep10000: 1833 steps (0.0005 hrs) 25 sec, Max 8110 steps
[124] Ep10000: 1838 steps (0.0005 hrs) 20 sec, Max 8110 steps
[125] Ep10000: 2384 steps (0.0007 hrs) 21 sec, Max 8110 steps
[126] Ep10000: 2695 steps (0.0007 hrs) 16 sec, Max 8110 steps
[127] Ep10000: 2071 steps (0.0006 hrs) 26 sec, Max 8110 steps
[128] Ep10000: 2635 steps (0.0007 hrs) 24 sec, Max 8110 steps
[129] Ep10000: 2156 steps (0.0006 hrs) 26 sec, Max 8110 steps
[130] Ep10000: 3103 steps (0.0009 hrs) 25 sec, Max 8110 steps
[131] Ep10000: 2128 steps (0.0006 hrs) 25 sec, Max 8110 steps
[132] Ep10000: 1630 steps (0.0005 hrs) 21 sec, Max 8110 steps
[133] Ep10000: 2243 steps (0.0006 hrs) 25 sec, Max 8110 steps
[134] Ep10000: 1908 steps (0.0005 hrs) 25 sec, Max 8110 steps
[135] Ep10000: 2308 steps (0.0006 hrs) 26 sec, Max 8110 steps
[136] Ep10000: 2338 steps (0.0006 hrs) 25 sec, Max 8110 steps
[137] Ep10000: 2413 steps (0.0007 hrs) 26 sec, Max 8110 steps
[138] Ep10000: 2138 steps (0.0006 hrs) 21 sec, Max 8110 steps
[139] Ep10000: 2323 steps (0.0006 hrs) 16 sec, Max 8110 steps
[140] Ep10000: 3048 steps (0.0008 hrs) 16 sec, Max 8110 steps
[141] Ep10000: 2210 steps (0.0006 hrs) 25 sec, Max 8110 steps
[142] Ep10000: 1202 steps (0.0003 hrs) 11 sec, Max 8110 steps
[143] Ep10000: 1475 steps (0.0004 hrs) 12 sec, Max 8110 steps
[144] Ep10000: 2124 steps (0.0006 hrs) 25 sec, Max 8110 steps
[145] Ep10000: 2046 steps (0.0006 hrs) 25 sec, Max 8110 steps
[146] Ep10000: 2069 steps (0.0006 hrs) 26 sec, Max 8110 steps
[147] Ep10000: 2465 steps (0.0007 hrs) 14 sec, Max 8110 steps
[148] Ep10000: 1729 steps (0.0005 hrs) 21 sec, Max 8110 steps
[149] Ep10000: 2143 steps (0.0006 hrs) 25 sec, Max 8110 steps
[150] Ep10000: 2829 steps (0.0008 hrs) 25 sec, Max 8110 steps
[151] Ep10000: 2790 steps (0.0008 hrs) 26 sec, Max 8110 steps
[152] Ep10000: 4935 steps (0.0014 hrs) 19 sec, Max 8110 steps
[153] Ep10000: 1998 steps (0.0006 hrs) 27 sec, Max 8110 steps
[154] Ep10000: 1269 steps (0.0004 hrs) 11 sec, Max 8110 steps
[155] Ep10000: 1703 steps (0.0005 hrs) 18 sec, Max 8110 steps
[156] Ep10000: 2464 steps (0.0007 hrs) 25 sec, Max 8110 steps
[157] Ep10000: 2065 steps (0.0006 hrs) 13 sec, Max 8110 steps
[158] Ep10000: 2783 steps (0.0008 hrs) 25 sec, Max 8110 steps
[159] Ep10000: 1654 steps (0.0005 hrs) 14 sec, Max 8110 steps
[160] Ep10000: 2716 steps (0.0008 hrs) 23 sec, Max 8110 steps
[161] Ep10000: 8447 steps (0.0023 hrs) 18 sec, Max 8447 steps
[162] Ep10000: 1594 steps (0.0004 hrs) 13 sec, Max 8447 steps
[163] Ep10000: 1953 steps (0.0005 hrs) 20 sec, Max 8447 steps
[164] Ep10000: 1717 steps (0.0005 hrs) 12 sec, Max 8447 steps
[165] Ep10000: 2058 steps (0.0006 hrs) 14 sec, Max 8447 steps
[166] Ep10000: 1809 steps (0.0005 hrs) 21 sec, Max 8447 steps
[167] Ep10000: 2745 steps (0.0008 hrs) 26 sec, Max 8447 steps
[168] Ep10000: 1432 steps (0.0004 hrs) 13 sec, Max 8447 steps
[169] Ep10000: 1997 steps (0.0006 hrs) 19 sec, Max 8447 steps
[170] Ep10000: 2778 steps (0.0008 hrs) 25 sec, Max 8447 steps
[171] Ep10000: 1616 steps (0.0004 hrs) 13 sec, Max 8447 steps
[172] Ep10000: 2561 steps (0.0007 hrs) 27 sec, Max 8447 steps
[173] Ep10000: 1257 steps (0.0003 hrs) 12 sec, Max 8447 steps
[174] Ep10000: 2521 steps (0.0007 hrs) 26 sec, Max 8447 steps
[175] Ep10000: 2688 steps (0.0007 hrs) 17 sec, Max 8447 steps
[176] Ep10000: 2447 steps (0.0007 hrs) 21 sec, Max 8447 steps
[177] Ep10000: 1295 steps (0.0004 hrs) 13 sec, Max 8447 steps
[178] Ep10000: 1752 steps (0.0005 hrs) 16 sec, Max 8447 steps
[179] Ep10000: 1883 steps (0.0005 hrs) 24 sec, Max 8447 steps
[180] Ep10000: 2258 steps (0.0006 hrs) 25 sec, Max 8447 steps
[181] Ep10000: 1733 steps (0.0005 hrs) 22 sec, Max 8447 steps
[182] Ep10000: 1708 steps (0.0005 hrs) 22 sec, Max 8447 steps
[183] Ep10000: 2594 steps (0.0007 hrs) 25 sec, Max 8447 steps
[184] Ep10000: 1567 steps (0.0004 hrs) 15 sec, Max 8447 steps
[185] Ep10000: 2426 steps (0.0007 hrs) 22 sec, Max 8447 steps
[186] Ep10000: 2452 steps (0.0007 hrs) 26 sec, Max 8447 steps
[187] Ep10000: 2240 steps (0.0006 hrs) 25 sec, Max 8447 steps
[188] Ep10000: 2161 steps (0.0006 hrs) 26 sec, Max 8447 steps
[189] Ep10000: 2756 steps (0.0008 hrs) 23 sec, Max 8447 steps
[190] Ep10000: 1605 steps (0.0004 hrs) 12 sec, Max 8447 steps
[191] Ep10000: 1986 steps (0.0006 hrs) 14 sec, Max 8447 steps
[192] Ep10000: 1634 steps (0.0005 hrs) 12 sec, Max 8447 steps
[193] Ep10000: 2025 steps (0.0006 hrs) 26 sec, Max 8447 steps
[194] Ep10000: 2531 steps (0.0007 hrs) 26 sec, Max 8447 steps
[195] Ep10000: 3048 steps (0.0008 hrs) 19 sec, Max 8447 steps
[196] Ep10000: 2428 steps (0.0007 hrs) 21 sec, Max 8447 steps
[197] Ep10000: 2247 steps (0.0006 hrs) 26 sec, Max 8447 steps
[198] Ep10000: 1554 steps (0.0004 hrs) 12 sec, Max 8447 steps
[199] Ep10000: 1999 steps (0.0006 hrs) 23 sec, Max 8447 steps
[200] Ep10000: 2285 steps (0.0006 hrs) 23 sec, Max 8447 steps
[201] Ep10000: 1831 steps (0.0005 hrs) 23 sec, Max 8447 steps
[202] Ep10000: 2257 steps (0.0006 hrs) 20 sec, Max 8447 steps
[203] Ep10000: 2110 steps (0.0006 hrs) 25 sec, Max 8447 steps
[204] Ep10000: 2114 steps (0.0006 hrs) 25 sec, Max 8447 steps
[205] Ep10000: 2081 steps (0.0006 hrs) 26 sec, Max 8447 steps
[206] Ep10000: 1999 steps (0.0006 hrs) 25 sec, Max 8447 steps
[207] Ep10000: 2218 steps (0.0006 hrs) 25 sec, Max 8447 steps
[208] Ep10000: 2214 steps (0.0006 hrs) 26 sec, Max 8447 steps
[209] Ep10000: 2283 steps (0.0006 hrs) 22 sec, Max 8447 steps
[210] Ep10000: 2023 steps (0.0006 hrs) 24 sec, Max 8447 steps
[211] Ep10000: 2142 steps (0.0006 hrs) 23 sec, Max 8447 steps
[212] Ep10000: 1311 steps (0.0004 hrs) 13 sec, Max 8447 steps
[213] Ep10000: 1930 steps (0.0005 hrs) 25 sec, Max 8447 steps
[214] Ep10000: 2572 steps (0.0007 hrs) 25 sec, Max 8447 steps
[215] Ep10000: 1487 steps (0.0004 hrs) 13 sec, Max 8447 steps
[216] Ep10000: 2562 steps (0.0007 hrs) 25 sec, Max 8447 steps
[217] Ep10000: 1735 steps (0.0005 hrs) 15 sec, Max 8447 steps
[218] Ep10000: 2415 steps (0.0007 hrs) 25 sec, Max 8447 steps
[219] Ep10000: 2053 steps (0.0006 hrs) 24 sec, Max 8447 steps
[220] Ep10000: 1694 steps (0.0005 hrs) 20 sec, Max 8447 steps
[221] Ep10000: 2584 steps (0.0007 hrs) 25 sec, Max 8447 steps
[222] Ep10000: 2278 steps (0.0006 hrs) 25 sec, Max 8447 steps
[223] Ep10000: 2299 steps (0.0006 hrs) 26 sec, Max 8447 steps
[224] Ep10000: 1280 steps (0.0004 hrs) 11 sec, Max 8447 steps
[225] Ep10000: 2052 steps (0.0006 hrs) 25 sec, Max 8447 steps
[226] Ep10000: 2890 steps (0.0008 hrs) 26 sec, Max 8447 steps
[227] Ep10000: 1708 steps (0.0005 hrs) 12 sec, Max 8447 steps
[228] Ep10000: 1714 steps (0.0005 hrs) 21 sec, Max 8447 steps
[229] Ep10000: 1574 steps (0.0004 hrs) 14 sec, Max 8447 steps
[230] Ep10000: 1744 steps (0.0005 hrs) 25 sec, Max 8447 steps
[231] Ep10000: 2195 steps (0.0006 hrs) 25 sec, Max 8447 steps
[232] Ep10000: 1618 steps (0.0004 hrs) 13 sec, Max 8447 steps
[233] Ep10000: 2339 steps (0.0006 hrs) 17 sec, Max 8447 steps
[234] Ep10000: 2535 steps (0.0007 hrs) 20 sec, Max 8447 steps
[235] Ep10000: 1717 steps (0.0005 hrs) 14 sec, Max 8447 steps
[236] Ep10000: 2643 steps (0.0007 hrs) 19 sec, Max 8447 steps
[237] Ep10000: 1941 steps (0.0005 hrs) 26 sec, Max 8447 steps
[238] Ep10000: 2354 steps (0.0007 hrs) 20 sec, Max 8447 steps
[239] Ep10000: 2473 steps (0.0007 hrs) 25 sec, Max 8447 steps
[240] Ep10000: 1649 steps (0.0005 hrs) 21 sec, Max 8447 steps
[241] Ep10000: 2039 steps (0.0006 hrs) 18 sec, Max 8447 steps
[242] Ep10000: 2316 steps (0.0006 hrs) 25 sec, Max 8447 steps
[243] Ep10000: 2487 steps (0.0007 hrs) 26 sec, Max 8447 steps
[244] Ep10000: 3241 steps (0.0009 hrs) 24 sec, Max 8447 steps
[245] Ep10000: 2143 steps (0.0006 hrs) 26 sec, Max 8447 steps
[246] Ep10000: 1925 steps (0.0005 hrs) 26 sec, Max 8447 steps
[247] Ep10000: 2188 steps (0.0006 hrs) 25 sec, Max 8447 steps
[248] Ep10000: 5884 steps (0.0016 hrs) 23 sec, Max 8447 steps
[249] Ep10000: 2341 steps (0.0007 hrs) 12 sec, Max 8447 steps
[250] Ep10000: 1937 steps (0.0005 hrs) 12 sec, Max 8447 steps
[251] Ep10000: 2244 steps (0.0006 hrs) 26 sec, Max 8447 steps
[252] Ep10000: 1208 steps (0.0003 hrs) 11 sec, Max 8447 steps
