balanced 0 test_flag 0
[Run 75] Ep10000: 3328 steps (0.0009 hrs) 24 sec, Max 28836 steps
[Run 76] Ep10000: 2163 steps (0.0006 hrs) 25 sec, Max 28836 steps
[Run 77] Ep10000: 1598 steps (0.0004 hrs) 15 sec, Max 28836 steps
[Run 78] Ep10000: 1689 steps (0.0005 hrs) 15 sec, Max 28836 steps
[Run 79] Ep10000: 8208 steps (0.0023 hrs) 21 sec, Max 28836 steps
[Run 80] Ep10000: 2755 steps (0.0008 hrs) 23 sec, Max 28836 steps
[Run 81] Ep10000: 2272 steps (0.0006 hrs) 15 sec, Max 28836 steps
[Run 82] Ep10000: 4850 steps (0.0013 hrs) 24 sec, Max 28836 steps
[Run 83] Ep10000: 2266 steps (0.0006 hrs) 25 sec, Max 28836 steps
[Run 84] Ep10000: 6804 steps (0.0019 hrs) 37 sec, Max 28836 steps
[Run 85] Ep10000: 2157 steps (0.0006 hrs) 25 sec, Max 28836 steps
[Run 86] Ep10000: 1444 steps (0.0004 hrs) 15 sec, Max 28836 steps
[Run 87] Ep10000: 5542 steps (0.0015 hrs) 21 sec, Max 28836 steps
[Run 88] Ep10000: 5366 steps (0.0015 hrs) 19 sec, Max 28836 steps
[Run 89] Ep10000: 2357 steps (0.0007 hrs) 15 sec, Max 28836 steps
[Run 90] Ep10000: 1762 steps (0.0005 hrs) 15 sec, Max 28836 steps
[Run 91] Ep10000: 3743 steps (0.0010 hrs) 26 sec, Max 28836 steps
[Run 92] Ep10000: 1887 steps (0.0005 hrs) 15 sec, Max 28836 steps
[Run 93] Ep10000: 2394 steps (0.0007 hrs) 15 sec, Max 28836 steps
[Run 94] Ep10000: 2136 steps (0.0006 hrs) 15 sec, Max 28836 steps
[Run 95] Ep10000: 1476 steps (0.0004 hrs) 15 sec, Max 28836 steps
[Run 96] Ep10000: 3177 steps (0.0009 hrs) 26 sec, Max 28836 steps
[Run 97] Ep10000: 2351 steps (0.0007 hrs) 20 sec, Max 28836 steps
[Run 98] Ep10000: 3938 steps (0.0011 hrs) 21 sec, Max 28836 steps
[Run 99] Ep10000: 1385 steps (0.0004 hrs) 15 sec, Max 28836 steps
[Run 100] Ep10000: 1827 steps (0.0005 hrs) 16 sec, Max 28836 steps
[Run 101] Ep10000: 1616 steps (0.0004 hrs) 15 sec, Max 28836 steps
[Run 102] Ep10000: 1595 steps (0.0004 hrs) 16 sec, Max 28836 steps
[Run 103] Ep10000: 2390 steps (0.0007 hrs) 22 sec, Max 28836 steps
[Run 104] Ep10000: 1922 steps (0.0005 hrs) 15 sec, Max 28836 steps
[Run 105] Ep10000: 2289 steps (0.0006 hrs) 17 sec, Max 28836 steps
[Run 106] Ep10000: 2820 steps (0.0008 hrs) 17 sec, Max 28836 steps
[Run 107] Ep10000: 3357 steps (0.0009 hrs) 27 sec, Max 28836 steps
[Run 108] Ep10000: 5348 steps (0.0015 hrs) 38 sec, Max 28836 steps
[Run 109] Ep10000: 2000 steps (0.0006 hrs) 17 sec, Max 28836 steps
[Run 110] Ep10000: 1683 steps (0.0005 hrs) 14 sec, Max 28836 steps
[Run 111] Ep10000: 1663 steps (0.0005 hrs) 15 sec, Max 28836 steps
[Run 112] Ep10000: 1666 steps (0.0005 hrs) 15 sec, Max 28836 steps
[Run 113] Ep10000: 1963 steps (0.0005 hrs) 15 sec, Max 28836 steps
[Run 114] Ep10000: 4467 steps (0.0012 hrs) 28 sec, Max 28836 steps
[Run 115] Ep10000: 3289 steps (0.0009 hrs) 22 sec, Max 28836 steps
[Run 116] Ep10000: 3666 steps (0.0010 hrs) 25 sec, Max 28836 steps
[Run 117] Ep10000: 1963 steps (0.0005 hrs) 16 sec, Max 28836 steps
[Run 118] Ep10000: 2677 steps (0.0007 hrs) 24 sec, Max 28836 steps
[Run 119] Ep10000: 1578 steps (0.0004 hrs) 16 sec, Max 28836 steps
[Run 120] Ep10000: 1888 steps (0.0005 hrs) 15 sec, Max 28836 steps
[Run 121] Ep10000: 1683 steps (0.0005 hrs) 16 sec, Max 28836 steps
[Run 122] Ep10000: 1768 steps (0.0005 hrs) 15 sec, Max 28836 steps
[Run 123] Ep10000: 3169 steps (0.0009 hrs) 27 sec, Max 28836 steps
[Run 124] Ep10000: 1711 steps (0.0005 hrs) 16 sec, Max 28836 steps
[Run 125] Ep10000: 1899 steps (0.0005 hrs) 17 sec, Max 28836 steps
[Run 126] Ep10000: 7110 steps (0.0020 hrs) 17 sec, Max 28836 steps
[Run 127] Ep10000: 1723 steps (0.0005 hrs) 16 sec, Max 28836 steps
[Run 128] Ep10000: 4168 steps (0.0012 hrs) 19 sec, Max 28836 steps
[Run 129] Ep10000: 1788 steps (0.0005 hrs) 16 sec, Max 28836 steps
[Run 130] Ep10000: 2017 steps (0.0006 hrs) 14 sec, Max 28836 steps
[Run 131] Ep10000: 3561 steps (0.0010 hrs) 26 sec, Max 28836 steps
[Run 132] Ep10000: 1487 steps (0.0004 hrs) 16 sec, Max 28836 steps
[Run 133] Ep10000: 1371 steps (0.0004 hrs) 14 sec, Max 28836 steps
[Run 134] Ep10000: 7563 steps (0.0021 hrs) 26 sec, Max 28836 steps
[Run 135] Ep10000: 2360 steps (0.0007 hrs) 15 sec, Max 28836 steps
[Run 136] Ep10000: 1970 steps (0.0005 hrs) 13 sec, Max 28836 steps
[Run 137] Ep10000: 2445 steps (0.0007 hrs) 15 sec, Max 28836 steps
[Run 138] Ep10000: 2581 steps (0.0007 hrs) 21 sec, Max 28836 steps
[Run 139] Ep10000: 3507 steps (0.0010 hrs) 23 sec, Max 28836 steps
[Run 140] Ep10000: 2283 steps (0.0006 hrs) 20 sec, Max 28836 steps
[Run 141] Ep10000: 1788 steps (0.0005 hrs) 16 sec, Max 28836 steps
[Run 142] Ep10000: 5983 steps (0.0017 hrs) 37 sec, Max 28836 steps
[Run 143] Ep10000: 1778 steps (0.0005 hrs) 14 sec, Max 28836 steps
[Run 144] Ep10000: 3810 steps (0.0011 hrs) 27 sec, Max 28836 steps
[Run 145] Ep10000: 1682 steps (0.0005 hrs) 15 sec, Max 28836 steps
[Run 146] Ep10000: 4723 steps (0.0013 hrs) 22 sec, Max 28836 steps
[Run 147] Ep10000: 3420 steps (0.0010 hrs) 27 sec, Max 28836 steps
[Run 148] Ep10000: 1609 steps (0.0004 hrs) 14 sec, Max 28836 steps
[Run 149] Ep10000: 11608 steps (0.0032 hrs) 24 sec, Max 28836 steps
[Run 150] Ep10000: 2322 steps (0.0006 hrs) 15 sec, Max 28836 steps
[Run 151] Ep10000: 1709 steps (0.0005 hrs) 16 sec, Max 28836 steps
[Run 152] Ep10000: 1970 steps (0.0005 hrs) 16 sec, Max 28836 steps
[Run 153] Ep10000: 2000 steps (0.0006 hrs) 15 sec, Max 28836 steps
[Run 154] Ep10000: 3709 steps (0.0010 hrs) 26 sec, Max 28836 steps
[Run 155] Ep10000: 2120 steps (0.0006 hrs) 17 sec, Max 28836 steps
[Run 156] Ep10000: 1877 steps (0.0005 hrs) 16 sec, Max 28836 steps
[Run 157] Ep10000: 1768 steps (0.0005 hrs) 15 sec, Max 28836 steps
[Run 158] Ep10000: 2641 steps (0.0007 hrs) 25 sec, Max 28836 steps
[Run 159] Ep10000: 4906 steps (0.0014 hrs) 26 sec, Max 28836 steps
[Run 160] Ep10000: 3707 steps (0.0010 hrs) 27 sec, Max 28836 steps
[Run 161] Ep10000: 4541 steps (0.0013 hrs) 27 sec, Max 28836 steps
[Run 162] Ep10000: 2057 steps (0.0006 hrs) 15 sec, Max 28836 steps
[Run 163] Ep10000: 2648 steps (0.0007 hrs) 23 sec, Max 28836 steps
[Run 164] Ep10000: 3793 steps (0.0011 hrs) 18 sec, Max 28836 steps
[Run 165] Ep10000: 1753 steps (0.0005 hrs) 15 sec, Max 28836 steps
[Run 166] Ep10000: 3669 steps (0.0010 hrs) 27 sec, Max 28836 steps
[Run 167] Ep10000: 4797 steps (0.0013 hrs) 37 sec, Max 28836 steps
[Run 168] Ep10000: 1495 steps (0.0004 hrs) 17 sec, Max 28836 steps
[Run 169] Ep10000: 4926 steps (0.0014 hrs) 28 sec, Max 28836 steps
[Run 170] Ep10000: 9429 steps (0.0026 hrs) 19 sec, Max 28836 steps
[Run 171] Ep10000: 3833 steps (0.0011 hrs) 26 sec, Max 28836 steps
[Run 172] Ep10000: 2771 steps (0.0008 hrs) 26 sec, Max 28836 steps
[Run 173] Ep10000: 1800 steps (0.0005 hrs) 16 sec, Max 28836 steps
[Run 174] Ep10000: 2152 steps (0.0006 hrs) 16 sec, Max 28836 steps
[Run 175] Ep10000: 4233 steps (0.0012 hrs) 26 sec, Max 28836 steps
[Run 176] Ep10000: 1585 steps (0.0004 hrs) 17 sec, Max 28836 steps
[Run 177] Ep10000: 2686 steps (0.0007 hrs) 14 sec, Max 28836 steps
